#ZVView-data-copy:  31-Mar-2018 16:38:45
#=======================================
#
#name:   IRDFF-1.05: AU-197(N,G)AU-198
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  40692
#data...
#            X            Y
#          MeV        barns
    4.78164e-6      11017.9
    4.78733e-6      11848.5
    4.79303e-6      12740.9
    4.80064e-6      14020.6
    4.80826e-6      15396.8
    4.81717e-6      17105.2
    4.83758e-6      21180.7
    4.84653e-6      22882.7
    4.85291e-6      23999.5
     4.8593e-6      24999.4
    4.86529e-6      25804.7
    4.87051e-6        26382
    4.87573e-6      26830.3
    4.88104e-6      27143.1
    4.88675e-6      27310.1
    4.88909e-6      27326.7
    4.89478e-6      27239.9
     4.9005e-6      26974.5
    4.90549e-6      26603.1
    4.91071e-6      26083.4
     4.9161e-6      25418.1
    4.92236e-6      24502.7
    4.92863e-6      23460.1
    4.93829e-6      21670.4
    4.96315e-6      16719.9
    4.97103e-6      15218.8
    4.97826e-6        13914
    4.98419e-6      12907.9
    4.99012e-6      11963.7
    4.99605e-6      11082.6
    5.00201e-6      10263.1
    5.00796e-6      9506.97
    5.01391e-6      8811.93
    5.01988e-6      8173.09
    5.02586e-6      7588.03
    5.03184e-6      7053.76
    5.03782e-6      6566.01
    5.04383e-6      6119.47
    5.04983e-6      5712.17
    5.05583e-6      5340.47
    5.06185e-6      5000.19
    5.06788e-6      4688.55
    5.07391e-6      4403.31
    5.07994e-6      4141.88
    5.08599e-6      3900.91
    5.09205e-6      3679.44
     5.0981e-6      3475.54
     5.1062e-6      3227.52
    5.11431e-6      3003.93
    5.12174e-6      2818.19
    5.12987e-6      2633.44
    5.13801e-6      2465.74
    5.14616e-6      2313.12
    5.15434e-6      2173.49
    5.16252e-6       2045.9
    5.17071e-6      1928.79
    5.17892e-6      1821.07
    5.18713e-6      1721.98
    5.19812e-6      1601.36
    5.20911e-6      1492.75
    5.22015e-6      1394.33
    5.22981e-6      1315.84
    5.24227e-6      1223.89
    5.25474e-6      1141.06
    5.26727e-6      1065.95
    5.27981e-6       997.87
    5.29239e-6      935.823
    5.30499e-6      879.201
    5.31763e-6      827.373
     5.3303e-6      779.798
    5.34298e-6       736.09
    5.35572e-6      695.758
    5.37273e-6      646.782
    5.38979e-6      602.614
    5.40692e-6      562.598
     5.4241e-6      526.287
    5.44133e-6      493.245
     5.4586e-6      463.094
    5.47595e-6      435.474
    5.49335e-6      410.148
     5.5108e-6      386.874
     5.5283e-6      365.437
    5.54587e-6      345.626
    5.56937e-6      321.513
    5.59298e-6      299.712
    5.61668e-6      279.945
    5.63453e-6       266.31
     5.6614e-6      247.564
    5.68839e-6      230.627
    5.71552e-6      215.264
    5.74277e-6      201.283
    5.77016e-6      188.523
    5.79768e-6      176.864
    5.82534e-6      166.196
    5.85312e-6      156.413
    5.88103e-6      147.414
    5.90907e-6      139.112
    5.93725e-6      131.439
    5.97504e-6      122.081
    6.01306e-6      113.619
    6.04813e-6      106.552
    6.08662e-6      99.5145
    6.12535e-6      93.0978
    6.16433e-6      87.2331
    6.20356e-6      81.8609
    6.24304e-6      76.9289
    6.28277e-6      72.3917
    6.32275e-6      68.2097
    6.36299e-6      64.3477
    6.40348e-6      60.7751
    6.44423e-6      57.4646
    6.49896e-6      53.4169
    6.55417e-6      49.7425
    6.60984e-6      46.3984
    6.66598e-6      43.3476
    6.71549e-6      40.8941
     6.7797e-6      38.0021
    6.84452e-6      35.3761
    6.90996e-6      32.9911
    6.97601e-6      30.8138
    7.04272e-6      28.8153
    7.11006e-6      26.9831
    7.17803e-6      25.3006
    7.24665e-6      23.7527
    7.31594e-6      22.3254
    7.38589e-6      21.0079
     7.4565e-6      19.7896
    7.52778e-6      18.6613
    7.59977e-6      17.6145
    7.67243e-6      16.6423
    7.74578e-6      15.7382
    7.84468e-6      14.6284
    7.94484e-6       13.617
    8.05478e-6      12.6201
    8.15762e-6       11.781
    8.26178e-6      11.0117
    8.36726e-6      10.3051
    8.47409e-6      9.65504
    8.58229e-6      9.05603
    8.69187e-6      8.50325
    8.80285e-6      7.99237
    8.91524e-6      7.52082
    9.06733e-6       6.9456
    9.18311e-6      6.54879
    9.30036e-6      6.18006
