#ZVView-data-copy: 18-Nov-2018 22:52:37																																																																																											
																																														
#																																														
#MT102:LB5:Symmetric Matrix																																														
Z(45x45): Zi,j = Cor(σXi,σYj)*100																																														
	X (MeV)																																													
Y(MeV)	5.50E-07	1.40E-05	2.50E-05	0.00016	0.00021	0.00024	0.00028	0.001	0.002	0.0032	0.0051453	0.0085	0.012339	0.018111	0.039019	0.057273	0.084065	0.11295	0.14219	0.17901	0.22536	0.28371	0.35717	0.44965	0.56607	0.71264	0.89716	1.1295	1.4219	1.7901	2.2536	2.8371	3.5717	4.4965	5.6607	7.1264	8.9716	11.295	14.219	17.901	22.536	28.371	35.717	44.965	60	j
0.22536	0	0	0	0	0	0	0	0	0	0	0	37.92	32.28	47.87	49.17	46.46	35.77	36.72	47.62	47.84	100	30.89	49.23	49.7	35.63	33.78	30.63	18.29	18.66	17.82	17.24	15.54	13.11	12.85	6.915	0.2726	-3.714	-3.439	-3.324	-2.981	-2.512	-2.12	-1.551	-1.298	-1.298	21
0.28371	0	0	0	0	0	0	0	0	0	0	0	27.63	40.69	43.91	44.15	41.02	41.62	45.8	31.14	29.91	30.89	100	24.32	30.87	48.24	46.29	44.49	14.4	15.88	15.38	14.54	12.97	11.06	11.02	5.299	3.178	3.7	1.839	2.392	2.572	2.1	1.787	1.302	1.045	1.045	22
0.35717	0	0	0	0	0	0	0	0	0	0	0	38.73	32.35	48.01	49.04	46.2	34.66	35.01	46.66	47.17	49.23	24.32	100	45.67	35.97	34.09	31.39	19.07	19.34	18.23	17.12	15.01	12.3	11.71	6.217	-0.2295	-4.817	-4.344	-4.283	-3.841	-3.081	-2.471	-1.669	-1.297	-1.297	23
0.44965	0	0	0	0	0	0	0	0	0	0	0	38.94	32.97	48.42	49.49	46.53	35.14	35.71	47.02	47.58	49.7	30.87	45.67	100	33.71	36.35	33.42	19.75	19.96	18.85	18.1	16.21	13.55	13.05	7.119	0.06887	-4.949	-4.814	-4.769	-4.153	-3.186	-2.452	-1.513	-1.088	-1.088	24
0.56607	0	0	0	0	0	0	0	0	0	0	0	33.31	43.91	49.68	50	46.32	43.66	47.09	35.65	34.35	35.63	48.24	35.97	33.71	100	47.49	50.11	18.52	19.75	18.34	16.91	14.97	12.72	12.58	6.204	2.513	0.2586	-2.121	-1.49	-0.4497	0.4899	1.102	1.567	1.743	1.743	25
0.71264	0	0	0	0	0	0	0	0	0	0	0	31.61	41.5	46.2	45.98	42.51	39.82	43.16	33.4	32.43	33.78	46.29	34.09	36.35	47.49	100	51.23	17.81	19.84	17.84	15.06	12.44	10.11	10.12	4.783	0.1476	-3.275	-6.873	-6.323	-4.867	-2.733	-1.232	0.2651	0.9883	0.9883	26
0.89716	0	0	0	0	0	0	0	0	0	0	0	29.34	39.28	42.62	41.91	38.59	35.94	39.14	29.98	29.23	30.63	44.49	31.39	33.42	50.11	51.23	100	13.21	18.88	16.61	12.11	8.739	6.471	6.571	3.109	-1.986	-6.528	-12.08	-12.07	-10.6	-7.354	-4.92	-2.205	-0.7881	-0.7881	27
1.1295	0	0	0	0	0	0	0	0	0	0	0	19.22	19.34	26.05	26.7	24.85	19.55	18.7	18.82	17.82	18.29	14.4	19.07	19.75	18.52	17.81	13.21	100	51.58	43.27	31.19	19.1	10.25	9.616	-3.618	-9.279	0.3492	13	17.59	15.58	9.138	5.922	1.351	-1.185	-1.185	28
1.4219	0	0	0	0	0	0	0	0	0	0	0	19.37	20.37	26.71	27.16	25.24	19.98	19.2	18.97	18.11	18.66	15.88	19.34	19.96	19.75	19.84	18.88	51.58	100	53.17	45.21	34.04	25.49	23.5	10.35	4.308	5.737	9.524	10.7	8.765	4.59	2.339	-0.1767	-1.443	-1.443	29
1.7901	0	0	0	0	0	0	0	0	0	0	0	16.84	17.84	23.5	23.99	22.38	18.16	17.95	17.74	17.22	17.82	15.38	18.23	18.85	18.34	17.84	16.61	43.27	53.17	100	55.83	51.07	43.9	40.26	27.14	21.46	14.83	10.72	8.834	7.636	5.332	3.29	1.913	1.34	1.34	30
2.2536	0	0	0	0	0	0	0	0	0	0	0	13.57	13.96	18.99	19.82	18.59	15.75	16.57	16.92	16.72	17.24	14.54	17.12	18.1	16.91	15.06	12.11	31.19	45.21	55.83	100	72.72	69.64	64.87	52.57	46.25	27.66	13.57	8.855	11.1	12.92	11.57	11.68	11.8	11.8	31
