#ZVView-data-copy: 18-Nov-2018 22:54:07																																																							
																																																																																																														
#																																																							
#MT107:LB5:Symmetric Matrix																																																							
Z(54x54): Zi,j = Cor(σXi,σYj)*100																																																							
	X (MeV)																																																						
Y(MeV)	3.24926	6	6.5	6.75	7	7.25	7.5	7.75	8	8.25	8.5	8.75	9	9.25	9.5	9.75	10	10.25	10.5	10.75	11	11.25	11.5	11.75	12	12.5	13	13.5	13.75	14	14.2	14.4	14.6	14.8	15	15.5	16	16.5	17	17.5	18	18.5	19	19.5	20	22.5	25	30	34	35	40	42	50	60	j
9.25	-12.13	28.16	16.54	27.65	39.62	36.23	28.2	30.01	43.03	60.73	76.84	89.02	96.78	100	96.95	90.07	80.74	70.75	61.22	52.68	45.39	39.47	35.04	32.19	30.87	30.26	26.09	13.74	7.448	8.957	11.75	12.03	8.915	5.068	1.946	2.593	5.653	8.711	10.47	10.65	9.617	7.87	5.812	3.74	-0.5455	-2.37	0.6732	0.7917	0.778	-0.3603	0	0	0	0	14
9.5	-1.906	25.87	17.39	23.93	35.34	35.8	28.76	26.97	34.7	48.52	63.73	77.75	89.29	96.95	100	97.31	91.48	83.69	75.09	66.31	57.65	49.38	41.83	35.46	29.44	26.6	25.93	16.18	7.504	7.684	11.18	13.14	11.08	6.953	2.027	0.6615	3.131	6.935	10.24	12.07	12.36	11.4	9.594	7.32	0.9738	-3.988	-0.5422	1.301	1.279	-0.6831	0	0	0	0	15
9.75	8.283	22.79	18.79	20.74	30.04	34.39	30.04	26.09	28.85	37.93	50.68	64.82	78.61	90.07	97.31	100	97.77	92.96	86.28	78.31	69.37	59.71	49.79	40.3	29.29	22.53	24	18.22	8.286	6.721	10.12	13.35	12.71	9.051	3.209	0.04661	1.396	5.109	9.174	12.17	13.59	13.53	12.27	10.19	2.943	-4.377	-1.549	1.521	1.495	-0.7898	0	0	0	0	16
10	16.37	19.62	20.17	18.45	24.86	32.34	31.32	26.58	25.4	29.89	39.42	52.38	66.92	80.74	91.48	97.77	100	98.15	93.98	87.69	79.5	69.57	58.34	46.58	30.99	19.14	20.87	19.66	9.788	6.392	8.895	12.75	13.61	11.02	5.295	0.8947	0.8476	3.698	7.636	11.09	13.26	13.99	13.43	11.88	4.947	-3.559	-2.146	1.441	1.416	-0.6771	0	0	0	0	17
10.25	21.33	16.93	21.25	17.17	20.62	30.1	32.27	27.81	24.04	24.71	30.93	41.91	55.96	70.75	83.69	92.96	98.15	100	98.35	94.33	87.74	78.61	67.18	54.17	34.88	17.29	17.28	20.45	11.9	6.87	7.869	11.61	13.76	12.64	7.957	3.047	1.588	3.016	6.034	9.212	11.63	12.94	13.09	12.24	6.658	-1.802	-2.263	1.119	1.099	-0.3887	0	0	0	0	18
10.5	22.91	15.01	21.86	16.81	17.72	28	32.73	29.3	24.29	22.23	25.46	34.05	46.68	61.22	75.09	86.28	93.98	98.35	100	98.37	94.06	86.63	76.08	62.9	41.09	17.6	13.89	20.61	14.42	8.2	7.305	10.21	13.25	13.72	10.82	6.186	3.528	3.229	4.722	6.987	9.151	10.71	11.46	11.38	7.847	0.5351	-1.912	0.6367	0.6257	0.01376	0	0	0	0	19
10.75	21.22	13.97	21.9	17.19	16.25	26.19	32.61	30.67	25.66	22.05	22.86	28.93	39.46	52.68	66.31	78.31	87.69	94.33	98.37	100	98.24	93.3	84.66	72.43	49.53	20.52	11.34	20.11	17.08	10.32	7.4	8.811	12.16	14.11	13.48	9.893	6.453	4.397	3.995	4.838	6.266	7.723	8.851	9.47	8.348	3.072	-1.155	0.08065	0.07926	0.4637	0	0	0	0	20
11	16.62	13.79	21.29	18.03	16.13	24.72	31.78	31.55	27.63	23.66	22.77	26.4	34.35	45.39	57.65	69.37	79.5	87.74	94.06	98.24	100	98	92.21	82.1	59.86	26.41	10.32	18.91	19.47	13.04	8.294	7.696	10.6	13.63	15.44	13.62	10.02	6.484	4.103	3.205	3.494	4.466	5.67	6.781	8.031	5.391	-0.09303	-0.4568	-0.4489	0.8875	0	0	0	0	21
11.25	9.743	14.33	19.97	19.04	17.12	23.54	30.16	31.61	29.66	26.47	24.71	26.19	31.32	39.47	49.38	59.71	69.57	78.61	86.63	93.3	98	100	97.69	90.86	71.38	35.47	11.6	17.04	21.01	16.02	10.05	7.171	8.757	12.15	16.15	16.67	13.7	9.315	5.239	2.552	1.437	1.56	2.463	3.728	6.851	7.03	1.112	-0.8763	-0.8611	1.203	0	0	0	0	22
11.5	1.652	15.33	17.99	19.84	18.85	22.6	27.74	30.59	31.16	29.73	27.98	27.83	30.19	35.04	41.83	49.79	58.34	67.18	76.08	84.66	92.21	97.69	100	97.31	82.92	47.56	16.05	14.64	21.06	18.66	12.58	7.566	6.979	9.723	15.12	18.19	16.77	12.52	7.473	3.316	0.7612	-0.2402	-0.04518	0.9251	4.909	7.525	2.23	-1.075	-1.056	1.327	0	0	0	0	23
