#ZVView-data-copy: 19-Nov-2018 04:18:18																																																																																																																																																																						
																																																																																																																																																																																																																																																																																																																																												
#																																																																																																																																																																						
#MT102:LB5:Symmetric Matrix																																																																																																																																																																						
Z(165x165): Zi,j = Cor(σXi,σYj)*100																																																																																																																																																																						
	X (MeV)																																																																																																																																																																					
Y(MeV)	5.00E-11	1.00E-10	5.00E-10	1.00E-09	5.00E-09	1.00E-08	1.50E-08	2.00E-08	2.51E-08	2.55E-08	3.00E-08	4.00E-08	5.00E-08	6.00E-08	7.00E-08	8.00E-08	9.00E-08	1.00E-07	1.50E-07	2.00E-07	2.50E-07	3.00E-07	4.00E-07	5.00E-07	6.00E-07	7.00E-07	8.00E-07	9.00E-07	1.00E-06	1.50E-06	2.00E-06	2.50E-06	3.00E-06	3.50E-06	4.10E-06	4.70E-06	5.10E-06	6.00E-06	7.00E-06	8.00E-06	9.00E-06	1.00E-05	1.45E-05	2.10E-05	3.10E-05	4.50E-05	5.15E-05	5.85E-05	6.70E-05	7.65E-05	8.75E-05	0.0001	0.0001275	0.00016	0.00018	0.0002	0.000235	0.000265	0.000315	0.0004	0.000525	0.00072	0.001	0.0012	0.0014	0.002	0.0029	0.003	0.0036	0.004	0.0048	0.006	0.007	0.008	0.009	0.01225	0.0175	0.022	0.027	0.0375	0.05	0.06	0.07	0.08	0.09	0.0975	0.11	0.135	0.16	0.175	0.185	0.195	0.205	0.215	0.225	0.2325	0.2375	0.2425	0.2475	0.255	0.265	0.275	0.29	0.3125	0.3375	0.3625	0.3875	0.4125	0.4375	0.4625	0.4875	0.51	0.53	0.555	0.585	0.625	0.675	0.725	0.775	0.825	0.875	0.92	0.95	0.97	0.99	1.05	1.175	1.325	1.5	1.7	1.9	2.1	2.3	2.5	2.7	2.9	3.3	3.8	4.4	5	5.8	6.7	7.6	8.7	10	11	12	13	14	15	16	17	18	19	20	22	24	26	28	30	34	40	42	50	60	j
2.55E-08	16.52	12.44	26.25	13.83	-29.25	-48.08	-45.18	-7.336	72.43	100	87.17	80.64	77.72	75.5	73.32	70.94	68.29	59.38	42.98	29.99	21.18	13.79	9.444	8.811	10.13	12.43	15.11	17.83	24.66	31.81	35.64	37.32	37.11	34.82	28.19	19.26	27.65	23.88	21.43	20.45	20.29	20.67	15.62	7.114	12.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
3.00E-08	16.71	9.274	30.51	16.16	-45.23	-75.33	-79.11	-52.91	31.51	87.17	100	98.88	97.46	95.64	93.33	90.49	87.15	75.36	53.37	35.82	23.82	13.56	7.191	5.785	7.043	9.709	13	16.42	25.24	34.55	39.31	41.13	40.53	37.36	29.2	19.39	28.37	23.37	20.36	19.24	19.25	20.6	16.65	7.025	12.39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
4.00E-08	18.67	9.422	33.67	21.21	-42.26	-75.45	-81.8	-60.22	20.93	80.64	98.88	100	99.53	98.48	96.79	94.5	91.64	80.88	59.71	42.28	30.15	19.56	12.69	10.77	11.5	13.63	16.4	19.34	27.13	35.61	40.31	42.45	42.34	39.77	32.12	21.52	31.43	27.04	24.13	22.9	22.64	23.02	17.4	7.86	13.71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
5.00E-08	20.95	10.7	36.52	25.56	-37.72	-72.31	-80.01	-60.53	18.03	77.72	97.46	99.53	100	99.6	98.58	96.93	94.66	85.38	65.82	49.1	37.21	26.62	19.46	17.08	17.23	18.72	20.83	23.14	29.5	36.76	41.26	43.73	44.21	42.43	35.51	24.08	35.01	31.46	28.72	27.39	26.81	25.93	18.25	8.881	15.26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
6.00E-08	23.16	12.34	38.96	29.16	-33.13	-68.39	-77.01	-58.96	17	75.5	95.64	98.48	99.6	100	99.61	98.61	96.97	89.31	71.62	55.81	44.31	33.83	26.47	23.65	23.21	24.02	25.43	27.07	31.87	37.76	41.99	44.77	45.86	44.88	38.77	26.56	38.48	35.82	33.28	31.85	30.95	28.79	19	9.882	16.77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
7.00E-08	25.21	14.13	41.03	32.17	-28.56	-64.02	-73.29	-56.46	16.68	73.32	93.33	96.79	98.58	99.61	100	99.61	98.63	92.67	77.01	62.26	51.25	40.99	33.49	30.25	29.22	29.35	30.04	30.98	34.15	38.59	42.49	45.54	47.22	47.06	41.8	28.89	41.72	39.97	37.65	36.15	34.92	31.49	19.64	10.83	18.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
8.00E-08	27.09	15.96	42.75	34.7	-24.01	-59.27	-69.04	-53.33	16.66	70.94	90.49	94.5	96.93	98.61	99.61	100	99.61	95.4	81.91	68.34	57.9	47.94	40.37	36.75	35.15	34.59	34.56	34.79	36.3	39.24	42.77	46.06	48.31	48.94	44.55	31.03	44.68	43.85	41.77	40.19	38.66	33.99	20.17	11.7	19.46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
9.00E-08	28.76	17.77	44.13	36.8	-19.49	-54.24	-64.36	-49.75	16.77	68.29	87.15	91.64	94.66	96.97	98.63	99.61	100	97.49	86.24	73.93	64.15	54.56	46.98	43.02	40.88	39.66	38.93	38.46	38.31	39.72	42.85	46.34	49.11	50.51	46.99	32.96	47.31	47.39	45.55	43.92	42.1	36.25	20.59	12.49	20.61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17
1.00E-07	32.43	22.49	46.33	40.73	-7.012	-38.95	-49.46	-37.97	17.25	59.38	75.36	80.88	85.38	89.31	92.67	95.4	97.49	100	95.21	86.81	79.2	71.05	63.83	59.18	55.71	52.8	50.2	47.88	43.26	40.42	42.26	46.05	50.04	53.36	52.15	37.2	53	55.41	54.28	52.57	50.07	41.32	21.21	14.23	23.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
1.50E-07	35.08	27.77	45.72	42.4	10.22	-15.04	-25.02	-18.33	17.32	42.98	53.37	59.71	65.82	71.62	77.01	81.91	86.24	95.21	100	97.7	93.81	88.49	82.62	77.66	72.91	68.1	63.32	58.76	48.49	39.99	39.71	43.38	48.44	53.76	55.39	40.34	56.85	61.98	61.84	60.19	57.06	45.34	20.86	15.55	24.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19
