#ZVView-data-copy: 18-Nov-2018 22:41:39																																																																																							
																																																																																																																																																																													
#																																																																																							
#IRDFF-1.05: IN-115(N,G)In-116N																																																																																							
Z(86x86): Zi,j = Cor(σXi,σYj)*100																																																																																							
	X (MeV)																																																																																						
Y(MeV)	1.00E-10	1.00E-09	1.00E-08	2.00E-08	3.00E-08	5.60E-08	1.00E-07	3.00E-07	5.60E-07	1.00E-06	2.00E-06	3.00E-06	4.00E-06	4.70E-06	5.00E-06	6.00E-06	8.00E-06	1.00E-05	1.60E-05	2.50E-05	4.00E-05	6.30E-05	0.0001	0.0001275	0.00016	0.00018	0.0002	0.000235	0.000265	0.000315	0.0004	0.000525	0.00072	0.001	0.00125	0.0016	0.002	0.003	0.004	0.006	0.008	0.01	0.015	0.02	0.03	0.04	0.05	0.06	0.08	0.1	0.15	0.2	0.3	0.4	0.5	0.6	0.7	0.8	1	1.2	1.4	1.6	1.8	2	2.5	3	3.5	4	4.5	5	5.5	6	6.5	7	7.5	8	9	10	11	12	13	14	15	16	18	20	j
0.00125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35
0.0016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36
0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	82.1	71.77	68.06	65.24	61.73	59.27	59.21	60.95	63.04	64.73	66.11	66.12	63.32	56.64	46.07	32.1	21.49	14.29	9.532	6.4	3.735	2.313	2.251	2.697	3.162	3.392	2.944	1.027	-0.6758	-1.383	-1.241	-0.5616	0.3253	1.181	1.889	2.412	2.728	2.801	2.314	0.6673	-0.5034	0.4683	1.851	1.923	0.397	-0.9328	-1.023	0.5474	0.5474	37
0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82.1	100	96.4	86.15	75.02	62.36	53.28	49.82	50.57	53.4	56.57	60.58	64.2	66.12	63.57	54.45	38.73	25.31	15.67	9.09	4.685	0.9898	-0.623	-0.003971	1.446	2.886	3.885	3.995	1.646	-0.9843	-2.289	-2.285	-1.376	-0.05966	1.275	2.423	3.305	3.88	4.086	3.475	1.07	-0.7648	0.6222	2.738	2.908	0.6194	-1.424	-1.599	0.7944	0.7944	38
0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71.77	96.4	100	95.4	86.78	75.34	66.31	62.16	61.72	63.25	65.07	67.17	68.4	67.37	62.26	52.08	36.94	24.71	16.13	10.32	6.436	3.082	1.333	1.402	2.185	3.022	3.568	3.377	1.319	-0.7626	-1.733	-1.67	-0.9149	0.1375	1.185	2.075	2.749	3.176	3.31	2.784	0.8385	-0.6079	0.5221	2.203	2.321	0.4898	-1.131	-1.259	0.6447	0.6447	39
0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68.06	86.15	95.4	100	97.6	91.21	84.88	81.34	80	79.82	79.57	78.47	75.54	69.19	59.29	46.99	32.79	22.76	16.17	11.88	9.029	6.457	4.673	3.92	3.613	3.425	3.174	2.399	0.7386	-0.4401	-0.8263	-0.628	-0.09713	0.5341	1.112	1.571	1.892	2.066	2.068	1.659	0.4482	-0.3532	0.3737	1.343	1.365	0.2746	-0.6529	-0.6984	0.4054	0.4054	40
0.008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65.24	75.02	86.78	97.6	100	97.92	94.21	91.59	89.94	88.71	87.12	83.91	78.21	68.35	55.35	41.83	28.62	20.38	15.37	12.27	10.26	8.378	6.722	5.514	4.532	3.685	2.909	1.737	0.3288	-0.2475	-0.2353	0.06374	0.4535	0.8092	1.077	1.248	1.333	1.335	1.246	0.9108	0.1847	-0.1847	0.2788	0.7741	0.7299	0.1303	-0.3356	-0.3246	0.2468	0.2468	41
0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61.73	62.36	75.34	91.21	97.92	100	99.02	97.57	95.96	94.06	91.49	86.7	78.9	66.37	51.03	36.61	24.28	17.56	13.91	11.85	10.6	9.397	8.029	6.628	5.239	3.954	2.805	1.317	0.01984	-0.1587	0.1415	0.5351	0.8529	1.038	1.104	1.083	1.006	0.8858	0.7268	0.4252	0.003879	-0.07649	0.2277	0.4135	0.3181	0.03374	-0.1293	-0.07718	0.1463	0.1463	42
0.015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59.27	53.28	66.31	84.88	94.21	99.02	100	99.59	98.37	96.35	93.48	88.08	79.41	65.65	49.11	34.02	21.79	15.61	12.51	10.93	10.06	9.295	8.279	7.018	5.627	4.266	3.011	1.355	-0.07173	-0.2263	0.1493	0.6123	0.9728	1.172	1.23	1.19	1.088	0.94	0.7535	0.4173	-0.02187	-0.07612	0.2518	0.4259	0.3108	0.02516	-0.1239	-0.06015	0.1509	0.1509	43
0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59.21	49.82	62.16	81.34	91.59	97.57	99.59	100	99.49	97.97	95.46	90.43	82.03	68.33	51.46	35.57	22.24	15.29	11.74	9.92	8.977	8.296	7.62	6.791	5.787	4.704	3.6	1.911	0.0774	-0.4544	-0.2272	0.2821	0.8097	1.22	1.478	1.602	1.618	1.542	1.371	0.9246	0.1185	-0.1912	0.3585	0.8403	0.7383	0.111	-0.3335	-0.2891	0.2696	0.2696	44
