#ZVView-data-copy: 18-Nov-2018 22:41:39																																																																																							
																																																																																																																																																																													
#																																																																																							
#IRDFF-1.05: IN-115(N,G)In-116N																																																																																							
Z(86x86): Zi,j = Cor(σXi,σYj)*100																																																																																							
	X (MeV)																																																																																						
Y(MeV)	1.00E-10	1.00E-09	1.00E-08	2.00E-08	3.00E-08	5.60E-08	1.00E-07	3.00E-07	5.60E-07	1.00E-06	2.00E-06	3.00E-06	4.00E-06	4.70E-06	5.00E-06	6.00E-06	8.00E-06	1.00E-05	1.60E-05	2.50E-05	4.00E-05	6.30E-05	0.0001	0.0001275	0.00016	0.00018	0.0002	0.000235	0.000265	0.000315	0.0004	0.000525	0.00072	0.001	0.00125	0.0016	0.002	0.003	0.004	0.006	0.008	0.01	0.015	0.02	0.03	0.04	0.05	0.06	0.08	0.1	0.15	0.2	0.3	0.4	0.5	0.6	0.7	0.8	1	1.2	1.4	1.6	1.8	2	2.5	3	3.5	4	4.5	5	5.5	6	6.5	7	7.5	8	9	10	11	12	13	14	15	16	18	20	j
0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.29	15.67	16.13	16.17	15.37	13.91	12.51	11.74	11.78	12.63	14.06	17	22.02	32.26	48.58	70.51	89.88	98.02	100	98.6	95.01	85.89	68.45	48.56	30.26	15.51	4.708	-4.123	-3.799	2.858	7.749	9.322	8.088	5.231	1.879	-1.284	-3.948	-5.96	-7.172	-6.901	-2.625	1.603	-0.6223	-5.107	-5.899	-1.393	2.975	3.605	-1.358	-1.358	55
0.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.532	9.09	10.32	11.88	12.27	11.85	10.93	9.92	9.127	8.946	9.319	10.82	14.22	22.69	37.85	60.23	82.23	93.63	98.6	100	98.78	92.75	78.16	59.58	41.31	25.7	13.42	1.392	-2.933	1.565	6.363	8.914	9.032	7.447	5.074	2.562	0.248	-1.702	-3.16	-3.933	-2.002	0.9893	0.2363	-2.628	-3.531	-0.9481	1.902	2.536	-0.6153	-0.6153	56
0.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.4	4.685	6.436	9.029	10.26	10.6	10.06	8.977	7.696	6.853	6.506	6.966	9.069	15.86	29.44	51.08	74.11	87.64	95.01	98.78	100	97.3	86.35	70.03	52.66	36.88	23.57	8.497	-1.109	0.4221	4.663	8.068	9.659	9.587	8.464	6.849	5.081	3.332	1.696	-0.2115	-1.094	0.2456	1.182	0.3548	-0.5928	-0.3517	0.5815	1.168	0.2811	0.2811	57
0.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.735	0.9898	3.082	6.457	8.378	9.397	9.295	8.296	6.776	5.474	4.546	4.029	4.717	9.195	19.83	38.71	60.91	75.94	85.89	92.75	97.3	100	95.51	84.02	69.44	54.58	40.63	21.67	3.68	-0.3354	2.238	6.494	10.19	12.51	13.48	13.45	12.73	11.47	9.695	6.108	0.6524	-0.945	2.589	5.181	4.3	0.7241	-1.57	-1.135	1.748	1.748	58
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.313	-0.623	1.333	4.673	6.722	8.029	8.279	7.62	6.354	5.094	4.019	2.973	2.523	4.384	10.72	24.11	42.24	56.83	68.45	78.16	86.35	95.51	100	96.19	87.03	75.26	62.22	40.45	12.99	1.29	0.6287	4.92	10.51	15.36	18.75	20.68	21.35	20.87	19.14	13.85	3.118	-2.253	4.013	10.68	10.09	2.145	-4.003	-3.86	3.454	3.454	59
1.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.251	-0.003971	1.402	3.92	5.514	6.628	7.018	6.791	6.123	5.333	4.551	3.576	2.667	2.605	4.958	12.29	24.71	37	48.56	59.58	70.03	84.02	96.19	100	97.06	89.77	79.42	58.04	24.88	6.656	2.208	5.189	11.1	17.09	21.84	25.03	26.71	26.88	25.39	19.27	5.246	-2.933	4.668	13.97	13.84	3.27	-5.388	-5.566	4.539	4.539	60
1.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.697	1.446	2.185	3.613	4.532	5.239	5.627	5.787	5.76	5.557	5.228	4.61	3.677	2.428	1.736	3.835	10.61	19.87	30.26	41.31	52.66	69.44	87.03	97.06	100	97.61	91.04	72.84	38.29	15.63	7.512	8.143	12.82	18.39	23.18	26.65	28.69	29.21	27.97	21.83	6.734	-2.917	4.602	14.83	15.17	3.963	-5.584	-6.041	4.922	4.922	61
1.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.162	2.886	3.022	3.425	3.685	3.954	4.266	4.704	5.201	5.514	5.623	5.431	4.701	2.879	0.2224	-1.524	0.6183	6.854	15.51	25.7	36.88	54.58	75.26	89.77	97.61	100	97.73	84.78	52.62	27.77	16.46	14.1	16.32	20.08	23.71	26.5	28.22	28.69	27.6	21.96	7.561	-2.328	4.046	13.73	14.49	4.255	-4.794	-5.449	4.736	4.736	62
1.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.392	3.885	3.568	3.174	2.909	2.805	3.011	3.6	4.436	5.113	5.554	5.738	5.3	3.379	-0.2416	-4.346	-5.541	-1.965	4.708	13.42	23.57	40.63	62.22	79.42	91.04	97.73	100	93.75	67.22	42.38	28.65	23.03	21.92	22.81	24.25	25.52	26.29	26.28	25.14	20.24	7.78	-1.326	3.231	11.26	12.32	4.211	-3.289	-4.044	4.148	4.148	63
2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.944	3.995	3.377	2.399	1.737	1.317	1.355	1.911	2.824	3.654	4.292	4.799	4.805	3.445	0.1589	-4.627	-8.125	-7.58	-4.123	1.392	8.497	21.67	40.45	58.04	72.84	84.78	93.75	100	88.05	68.09	52.95	42.73	35.61	30.57	27	24.46	22.54	20.86	19.02	15.14	6.988	0.6875	1.955	5.97	7.107	3.605	-0.122	-0.7851	2.791	2.791	64
2.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.027	1.646	1.319	0.7386	0.3288	0.01984	-0.07173	0.0774	0.4102	0.7669	1.093	1.463	1.763	1.753	1.074	-0.5563	-2.606	-3.711	-3.799	-2.933	-1.109	3.68	12.99	24.88	38.29	52.62	67.22	88.05	100	93.65	82.56	70.19	57.37	45.33	35.13	27.04	20.79	15.99	12.25	8.266	4.628	2.812	1.376	0.4036	0.8206	2.383	3.385	3.25	1.304	1.304	65
3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.6758	-0.9843	-0.7626	-0.4401	-0.2475	-0.1587	-0.2263	-0.4544	-0.7794	-1.042	-1.215	-1.287	-1.114	-0.3268	1.209	3.154	4.315	3.956	2.858	1.565	0.4221	-0.3354	1.29	6.656	15.63	27.77	42.38	68.09	93.65	100	95.92	86.91	74.4	60.76	48.07	37.29	28.48	21.32	15.45	8.907	3.587	2.863	2.885	1.572	0.9881	2.157	3.569	3.983	1.772	1.772	66
3.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.383	-2.289	-1.733	-0.8263	-0.2353	0.1415	0.1493	-0.2272	-0.8659	-1.457	-1.922	-2.314	-2.378	-1.496	0.791	4.378	7.548	8.382	7.749	6.363	4.663	2.238	0.6287	2.208	7.512	16.46	28.65	52.95	82.56	95.92	100	95.76	87.09	75.52	63.53	52.52	42.87	34.38	26.68	16.32	4.802	1.729	5.404	7.274	6.036	3.162	1.724	2.443	3.738	3.738	67
4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.241	-2.285	-1.67	-0.628	0.06374	0.5351	0.6123	0.2821	-0.3366	-0.9442	-1.456	-1.956	-2.21	-1.667	0.221	3.639	7.242	8.951	9.322	8.914	8.068	6.494	4.92	5.189	8.143	14.1	23.03	42.73	70.19	86.91	95.76	100	95.09	87.53	78.11	68.49	59.28	50.42	41.46	27.29	7.861	0.3378	7.911	14.49	13.15	5.007	-0.6759	0.06487	6.36	6.36	68
4.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5616	-1.376	-0.9149	-0.09713	0.4535	0.8529	0.9728	0.8097	0.4372	0.03502	-0.3355	-0.7606	-1.111	-1.096	-0.2736	1.784	4.602	6.684	8.088	9.032	9.659	10.19	10.51	11.1	12.82	16.32	21.92	35.61	57.37	74.4	87.09	95.09	100	94.47	88.56	81.3	73.48	65.12	55.75	38.8	12.08	-0.6506	9.694	20.87	20.02	7.234	-2.592	-2.091	8.918	8.918	69
5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3253	-0.05966	0.1375	0.5341	0.8092	1.038	1.172	1.22	1.191	1.099	0.9656	0.7246	0.3669	-0.1512	-0.5965	-0.3886	1.001	3.027	5.231	7.447	9.587	12.51	15.36	17.09	18.39	20.08	22.81	30.57	45.33	60.76	75.52	87.53	94.47	100	93.75	89.19	83.27	76.06	67.06	48.83	16.85	-0.8239	10.49	25.11	25.24	9.496	-3.418	-3.352	10.98	10.98	70
5.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.181	1.275	1.185	1.112	1.077	1.104	1.23	1.478	1.792	2.02	2.141	2.12	1.813	0.8583	-0.7484	-2.358	-2.538	-0.8304	1.879	5.074	8.464	13.48	18.75	21.84	23.18	23.71	24.25	27	35.13	48.07	63.53	78.11	88.56	93.75	100	92.66	88.75	83.05	75.01	56.84	21.9	-0.01187	10.46	27.03	28.48	11.69	-2.984	-3.471	12.49	12.49	71
6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.889	2.423	2.075	1.571	1.248	1.083	1.19	1.602	2.209	2.715	3.064	3.253	3.025	1.759	-0.7719	-3.911	-5.515	-4.24	-1.284	2.562	6.849	13.45	20.68	25.03	26.65	26.5	25.52	24.46	27.04	37.29	52.52	68.49	81.3	89.19	92.66	100	91.01	86.95	80.27	63.26	27.32	1.866	9.922	27.03	30.03	13.88	-1.321	-2.438	13.61	13.61	72
6.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.412	3.305	2.749	1.892	1.333	1.006	1.088	1.618	2.447	3.172	3.703	4.069	3.93	2.474	-0.709	-4.999	-7.759	-6.943	-3.948	0.248	5.081	12.73	21.35	26.71	28.69	28.22	26.29	22.54	20.79	28.48	42.87	59.28	73.48	83.27	88.75	91.01	100	88.57	83.55	68.59	33.34	4.954	9.179	25.55	30.27	16.23	1.556	-0.252	14.51	14.51	73
7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.728	3.88	3.176	2.066	1.335	0.8858	0.94	1.542	2.514	3.383	4.041	4.541	4.49	2.961	-0.588	-5.607	-9.194	-8.818	-5.96	-1.702	3.332	11.47	20.87	26.88	29.21	28.69	26.28	20.86	15.99	21.32	34.38	50.42	65.12	76.06	83.05	86.95	88.57	100	85.05	73.07	40.22	9.533	8.545	22.87	29.42	18.87	5.725	3.174	15.34	15.34	74
7.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.801	4.086	3.31	2.068	1.246	0.7268	0.7535	1.371	2.392	3.321	4.038	4.614	4.643	3.168	-0.4259	-5.686	-9.699	-9.715	-7.172	-3.16	1.696	9.695	19.14	25.39	27.97	27.6	25.14	19.02	12.25	15.45	26.68	41.46	55.75	67.06	75.01	80.27	83.55	85.05	100	76.4	47.98	15.99	8.435	19.2	27.57	21.87	11.3	7.978	16.18	16.18	75
8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.314	3.475	2.784	1.659	0.9108	0.4252	0.4173	0.9246	1.788	2.589	3.221	3.761	3.868	2.753	-0.1468	-4.576	-8.206	-8.615	-6.901	-3.933	-0.2115	6.108	13.85	19.27	21.83	21.96	20.24	15.14	8.266	8.907	16.32	27.29	38.8	48.83	56.84	63.26	68.59	73.07	76.4	100	59.81	29.77	11.06	13.27	23.4	26.76	21.86	17.59	17.57	17.57	76
9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6673	1.07	0.8385	0.4482	0.1847	0.003879	-0.02187	0.1185	0.3774	0.6294	0.8395	1.042	1.139	0.9085	0.1472	-1.165	-2.431	-2.84	-2.625	-2.002	-1.094	0.6524	3.118	5.246	6.734	7.561	7.78	6.988	4.628	3.587	4.802	7.861	12.08	16.85	21.9	27.32	33.34	40.22	47.98	59.81	100	51.29	24.11	11.86	19.15	31.4	34.22	30.07	19.47	19.47	77
10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5034	-0.7648	-0.6079	-0.3532	-0.1847	-0.07649	-0.07612	-0.1912	-0.3856	-0.5649	-0.7055	-0.8236	-0.8424	-0.5834	0.07695	1.073	1.878	1.967	1.603	0.9893	0.2456	-0.945	-2.253	-2.933	-2.917	-2.328	-1.326	0.6875	2.812	2.863	1.729	0.3378	-0.6506	-0.8239	-0.01187	1.866	4.954	9.533	15.99	29.77	51.29	100	50.21	33.05	29.47	32.46	32.92	30.97	22.88	22.88	78
11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4683	0.6222	0.5221	0.3737	0.2788	0.2277	0.2518	0.3585	0.5188	0.6545	0.7499	0.8065	0.7573	0.4403	-0.2107	-1.043	-1.518	-1.276	-0.6223	0.2363	1.182	2.589	4.013	4.668	4.602	4.046	3.231	1.955	1.376	2.885	5.404	7.911	9.694	10.49	10.46	9.922	9.179	8.545	8.435	11.06	24.11	50.21	100	64.12	51.33	31.66	18.68	18.33	25.67	25.67	79
12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.851	2.738	2.203	1.343	0.7741	0.4135	0.4259	0.8403	1.53	2.159	2.647	3.045	3.079	2.11	-0.2825	-3.81	-6.548	-6.658	-5.107	-2.628	0.3548	5.181	10.68	13.97	14.83	13.73	11.26	5.97	0.4036	1.572	7.274	14.49	20.87	25.11	27.03	27.03	25.55	22.87	19.2	13.27	11.86	33.05	64.12	100	62.33	34.16	13.12	11.05	25.33	25.33	80
13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.923	2.908	2.321	1.365	0.7299	0.3181	0.3108	0.7383	1.466	2.141	2.674	3.128	3.219	2.284	-0.1501	-3.862	-6.903	-7.269	-5.899	-3.531	-0.5928	4.3	10.09	13.84	15.17	14.49	12.32	7.107	0.8206	0.9881	6.036	13.15	20.02	25.24	28.48	30.03	30.27	29.42	27.57	23.4	19.15	29.47	51.33	62.33	100	43.36	24.64	18.34	24.53	24.53	81
14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.397	0.6194	0.4898	0.2746	0.1303	0.03374	0.02516	0.111	0.2632	0.4079	0.5255	0.6325	0.6704	0.5042	0.02371	-0.7546	-1.449	-1.607	-1.393	-0.9481	-0.3517	0.7241	2.145	3.27	3.963	4.255	4.211	3.605	2.383	2.157	3.162	5.007	7.234	9.496	11.69	13.88	16.23	18.87	21.87	26.76	31.4	32.46	31.66	34.16	43.36	100	39.53	30.13	19.75	19.75	82
15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.9328	-1.424	-1.131	-0.6529	-0.3356	-0.1293	-0.1239	-0.3335	-0.6916	-1.025	-1.288	-1.515	-1.565	-1.115	0.06785	1.88	3.378	3.589	2.975	1.902	0.5815	-1.57	-4.003	-5.388	-5.584	-4.794	-3.289	-0.122	3.385	3.569	1.724	-0.6759	-2.592	-3.418	-2.984	-1.321	1.556	5.725	11.3	21.86	34.22	32.92	18.68	13.12	24.64	39.53	100	32.65	14.18	14.18	83
16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.023	-1.599	-1.259	-0.6984	-0.3246	-0.07718	-0.06015	-0.2891	-0.6893	-1.067	-1.371	-1.642	-1.727	-1.269	0.00711	2.028	3.784	4.151	3.605	2.536	1.168	-1.135	-3.86	-5.566	-6.041	-5.449	-4.044	-0.7851	3.25	3.983	2.443	0.06487	-2.091	-3.352	-3.471	-2.438	-0.252	3.174	7.978	17.59	30.07	30.97	18.33	11.05	18.34	30.13	32.65	100	12.03	12.03	84
18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5474	0.7944	0.6447	0.4054	0.2468	0.1463	0.1509	0.2696	0.4665	0.6462	0.7857	0.8994	0.9094	0.6341	-0.04492	-1.044	-1.812	-1.825	-1.358	-0.6153	0.2811	1.748	3.454	4.539	4.922	4.736	4.148	2.791	1.304	1.772	3.738	6.36	8.918	10.98	12.49	13.61	14.51	15.34	16.18	17.57	19.47	22.88	25.67	25.33	24.53	19.75	14.18	12.03	100	12.03	85
20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5474	0.7944	0.6447	0.4054	0.2468	0.1463	0.1509	0.2696	0.4665	0.6462	0.7857	0.8994	0.9094	0.6341	-0.04492	-1.044	-1.812	-1.825	-1.358	-0.6153	0.2811	1.748	3.454	4.539	4.922	4.736	4.148	2.791	1.304	1.772	3.738	6.36	8.918	10.98	12.49	13.61	14.51	15.34	16.18	17.57	19.47	22.88	25.67	25.33	24.53	19.75	14.18	12.03	12.03	100	86
i 	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	
