#ZVView-data-copy: 19-Nov-2018 01:32:48																																													
																																																																																									
#																																													
#MT103:LB5:Symmetric Matrix																																													
Z(44x44): Zi,j = Cor(σXi,σYj)*100																																													
	X (MeV)																																												
Y(MeV)	0.4	1.5	2	2.5	3	3.5	4	4.5	5	5.5	6	6.5	7	7.5	8	8.5	9	9.5	10	10.5	11	11.5	12	12.5	13	13.5	14	14.5	15	15.5	16	16.5	17	17.5	18	18.5	19	20	24	28	34	42	50	60	j
9.5	6.712	27.65	38.22	34.47	32.4	29.33	24.77	20.42	17.68	18.39	23.86	34.1	47.71	62.13	75.42	86.99	96.1	100	95.47	83.59	68.94	54.4	39.96	25.27	12.49	4.876	3.239	6.248	11.62	17.19	21.73	24.8	26.43	26.99	26.85	26.36	25.41	0	0	0	0	0	0	0	18
10	6.854	24.28	38.21	34.59	29.5	26.04	24.28	23.88	23.88	24.3	26.27	30.75	37.89	47.13	58.01	70.53	84.03	95.47	100	95.88	85.89	72.41	55.14	33.91	13.44	0.8648	-1.304	4.755	14.39	23.23	29.07	31.61	31.51	29.78	27.27	24.58	20.82	0	0	0	0	0	0	0	19
10.5	7.426	19.9	37.35	34.87	26.22	21.12	21.4	25.1	28.99	30.89	31.07	30.94	31.79	34.86	41.36	52.17	67.15	83.59	95.88	100	96.59	87.1	70.54	46.06	19.55	1.39	-3.541	2.927	14.92	26.33	33.85	36.88	36.28	33.43	29.54	25.42	19.69	0	0	0	0	0	0	0	20
11	8.13	16.32	36.13	35.17	23.82	16.72	17.74	24.19	31.43	35.53	35.72	33.27	29.9	27.92	29.77	37.26	50.96	68.94	85.89	96.59	100	96.46	84.14	60.76	31.48	8.38	-1.212	2.398	13.7	25.91	34.8	39.08	39.33	36.88	33.05	28.76	22.53	0	0	0	0	0	0	0	21
11.5	8.587	14.37	34.55	34.91	22.61	14	14.49	21.67	30.65	36.73	38.24	35.83	30.99	26.12	24.26	27.85	38.17	54.4	72.41	87.1	96.46	100	95.01	77.28	49.36	23.02	7.627	5.26	12.35	22.83	31.97	37.63	39.63	38.85	36.41	33.18	28.04	0	0	0	0	0	0	0	22
12	8.216	13.71	31.35	32.41	21.62	12.87	11.92	17.52	25.91	32.86	36.26	35.93	32.42	27.35	23.42	23.24	28.62	39.96	55.14	70.54	84.14	95.01	100	92.82	71.72	45.69	24.93	14.24	13.4	18.68	25.76	31.76	35.5	37	36.84	35.68	33.04	0	0	0	0	0	0	0	23
12.5	6.398	13.06	24.67	25.52	19.01	12.27	9.681	11.71	16.86	22.76	27.61	30.4	30.44	27.83	24.05	21.19	21.13	25.27	33.91	46.06	60.76	77.28	92.82	100	91.98	72.38	49.96	31.33	20.2	16.68	18.23	21.94	25.78	28.79	30.76	31.85	32.34	0	0	0	0	0	0	0	24
13	3.421	11	15	14.94	13.82	10.76	7.423	5.638	6.303	9.458	14.22	19.28	23.01	24.07	22.36	18.88	15.01	12.49	13.44	19.55	31.48	49.36	71.72	91.98	100	92.91	75.6	54.14	34.76	21.59	14.99	13.19	14.08	16.09	18.31	20.33	22.73	0	0	0	0	0	0	0	25
13.5	0.7388	7.495	6.145	5.232	7.665	7.882	5.202	1.634	-0.7679	-0.4376	2.742	7.756	12.96	16.46	17.13	14.92	10.41	4.876	0.8648	1.39	8.38	23.02	45.69	72.38	92.91	100	93.57	76.76	55.42	36.02	21.79	12.93	8.263	6.399	6.171	6.786	8.35	0	0	0	0	0	0	0	26
14	-0.3913	3.697	1.585	0.518	2.992	4.39	3.295	0.7456	-1.778	-2.796	-1.713	1.16	4.942	8.333	10.19	9.958	7.515	3.239	-1.304	-3.541	-1.212	7.627	24.93	49.96	75.6	93.57	100	93.67	77.51	57.73	39.33	24.53	13.75	6.492	1.903	-0.8358	-2.758	0	0	0	0	0	0	0	27
