#ZVView-data-copy: 18-Nov-2018 22:46:06																																																			
																																																																																																					
#																																																			
#MT16:LB5:Symmetric Matrix																																																			
Z(50x50): Zi,j = Cor(σXi,σYj)*100																																																			
	X (MeV)																																																		
Y(MeV)	12.104	12.4	12.6	12.8	13	13.2	13.4	13.6	13.8	14	14.2	14.4	14.6	14.8	15	15.2	15.4	15.6	15.8	16	16.5	17	17.5	18	18.5	19	19.5	20	20.5	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	38	40	42	50	60	j
15	-8.095	26.66	46.15	52.35	57.23	60.52	59.9	57.06	57.76	62.88	71.54	82.05	90.89	96.48	100	97.28	94.59	91.02	86.96	79.11	66.69	53.3	39.93	27.62	17.03	8.483	2.129	-0.9331	-2.074	-2.352	-0.8694	1.615	3.43	4.606	4.111	1.547	-1.301	-3.543	-5.104	-5.563	-4.809	-3.076	-0.862	1.287	3.716	5.086	0	0	0	0	15
15.2	-10.7	29.48	51.57	57.2	59.94	59.49	54.58	48.57	47.7	52.39	61.57	73.54	84.57	92.81	97.28	100	97.87	95.86	93.04	86.69	75.28	61.84	47.66	34.04	21.87	11.62	3.597	-0.9484	-2.722	-3.794	-2.942	-0.5787	1.751	3.411	3.626	1.821	-0.8178	-2.931	-4.578	-5.285	-4.869	-3.473	-1.519	0.4652	2.825	4.331	0	0	0	0	16
15.4	-12.4	31.23	54.98	60.15	61.27	57.99	49.77	41.27	39.01	43.13	52.42	65.22	77.78	88	94.59	97.87	100	98.29	96.67	91.93	81.91	68.98	54.6	40.26	27.02	15.47	6.031	-0.4573	-2.828	-4.748	-4.726	-2.743	-0.1001	1.918	2.847	1.967	-0.2499	-2.064	-3.666	-4.569	-4.522	-3.57	-2.024	-0.3523	1.768	3.31	0	0	0	0	17
15.6	-12.81	32.01	56.22	61	61.13	56.12	45.8	35.67	32.33	35.82	44.89	57.95	71.36	82.89	91.02	95.86	98.29	100	98.58	95.55	87.33	75.47	61.49	46.97	33.06	20.47	9.715	0.5913	-2.426	-5.382	-6.544	-5.289	-2.501	-0.2006	1.585	2.003	0.5352	-0.7188	-2.113	-3.186	-3.624	-3.336	-2.462	-1.348	0.2674	1.711	0	0	0	0	18
15.8	-12.51	32.17	56.12	60.58	60.12	54.08	42.46	31.28	27.09	29.93	38.58	51.54	65.35	77.72	86.96	93.04	96.67	98.58	100	97.84	91.55	81.06	67.84	53.51	39.3	25.96	14.09	2.021	-1.593	-5.579	-8.016	-7.642	-4.87	-2.399	0.1899	1.945	1.331	0.7249	-0.3812	-1.571	-2.483	-2.888	-2.746	-2.259	-1.237	0.04129	0	0	0	0	19
16	-10.32	31.21	53.14	57.11	56.42	50.07	37.87	26.1	20.96	22.7	30.26	42.32	55.95	68.81	79.11	86.69	91.93	95.55	97.84	100	96.78	89.31	78.2	65.01	50.97	36.91	23.5	5.452	0.8902	-4.906	-9.798	-11.32	-8.943	-6.42	-2.541	1.638	2.75	3.475	3.056	1.778	0.06297	-1.623	-2.893	-3.652	-3.868	-3.035	0	0	0	0	20
16.5	-5.088	28.05	44.85	48.15	48.14	43.3	32.68	21.93	16.34	16.67	22.27	32.1	44.15	56.25	66.69	75.28	81.91	87.33	91.55	96.78	100	97	89.93	79.56	67.03	53.13	38.56	11.49	5.954	-2.051	-10.32	-14.78	-13.58	-11.47	-6.285	0.9115	4.485	7.145	7.875	6.714	4.105	0.7924	-2.38	-4.879	-6.914	-6.889	0	0	0	0	21
17	1.366	23.54	33.7	36.28	37.53	35.49	28.2	19.91	14.69	13.9	17.33	24.29	33.77	43.92	53.3	61.84	68.98	75.47	81.06	89.31	97	100	97.28	90.76	80.98	68.59	54.21	18.39	12.47	3.036	-7.981	-15.23	-15.85	-14.7	-9.131	-0.0118	5.57	9.87	11.76	11.01	7.985	3.595	-0.9924	-4.868	-8.453	-9.295	0	0	0	0	22
17.5	7.682	18.55	21.85	23.65	26.24	27.35	24.03	18.86	14.53	12.94	14.32	18.28	24.78	32.33	39.93	47.66	54.6	61.49	67.84	78.2	89.93	97.28	100	97.54	91.38	81.64	68.8	25.45	19.84	10	-2.672	-12.14	-15.01	-15.31	-10.42	-0.9069	5.807	11.14	14	13.89	11.05	6.36	1.127	-3.49	-8.06	-9.667	0	0	0	0	23
18	12.9	13.83	11.03	12.05	15.73	19.65	20.15	18.09	14.93	12.87	12.53	13.78	17.32	22.13	27.62	34.04	40.26	46.97	53.51	65.01	79.56	90.76	97.54	100	97.68	91.46	81.31	32.15	27.52	18.37	5.321	-5.563	-10.92	-12.97	-9.809	-1.547	5.196	10.8	14.29	14.99	12.9	8.751	3.748	-0.863	-5.702	-7.854	0	0	0	0	24
18.5	16.45	9.825	2.312	2.609	6.947	12.94	16.58	17.22	15.28	13.08	11.46	10.52	11.46	13.69	17.03	21.87	27.02	33.06	39.3	50.97	67.03	80.98	91.38	97.68	100	97.65	91.11	38.13	35.05	27.63	15.51	4.143	-3.742	-7.713	-7.18	-1.727	3.861	8.917	12.65	14.21	13.37	10.53	6.609	2.753	-1.606	-4.009	0	0	0	0	25
19	18.05	6.755	-3.748	-4.09	0.3896	7.513	13.3	15.97	15.17	13.11	10.71	8.233	7.088	7.124	8.483	11.62	15.47	20.47	25.96	36.91	53.13	68.59	81.64	91.46	97.65	100	97.56	42.98	41.93	37.14	27.19	16.31	6.044	0.1591	-2.588	-1.265	2.004	5.737	9.247	11.64	12.4	11.52	9.413	6.986	3.815	1.502	0	0	0	0	26
19.5	17.57	4.685	-6.922	-7.777	-3.693	3.516	10.31	14.18	14.36	12.66	9.99	6.678	4.098	2.45	2.129	3.597	6.031	9.715	14.09	23.5	38.56	54.21	68.8	81.31	91.11	97.56	100	46.18	47.45	45.98	39.26	29.83	17.6	10.03	3.686	-0.02735	-0.09457	1.648	4.479	7.543	10.08	11.56	11.81	11.33	9.943	8.071	0	0	0	0	27
20	7.186	1.691	-3.466	-4.039	-2.516	0.4722	3.617	5.612	6.034	5.484	4.311	2.679	1.106	-0.1849	-0.9331	-0.9484	-0.4573	0.5913	2.021	5.452	11.49	18.39	25.45	32.15	38.13	42.98	46.18	100	99.29	95.49	86.48	76.35	21.61	17.26	12.51	7.785	-29.02	-27.27	-24.26	-20.58	-16.65	-12.9	-11.49	-9.147	-7.518	-7.816	-35.35	-35.05	-33.8	-33.8	28
20.5	5.947	1.702	-2.857	-3.584	-2.521	-0.0824	2.807	4.791	5.477	5.19	4.182	2.614	0.8276	-0.8402	-2.074	-2.722	-2.828	-2.426	-1.593	0.8902	5.954	12.47	19.84	27.52	35.05	41.93	47.45	99.29	100	98.27	91.55	82.73	28.57	23.48	16.78	9.084	-29.04	-28.72	-26.38	-22.56	-17.78	-12.75	-9.934	-6.418	-3.641	-3.495	-34.25	-33.96	-32.75	-32.75	29
21	2.786	2.325	-0.09258	-0.9334	-0.8762	0.06119	1.757	3.109	3.986	4.18	3.718	2.714	1.089	-0.7071	-2.352	-3.794	-4.748	-5.382	-5.579	-4.906	-2.051	3.036	10	18.37	27.63	37.14	45.98	95.49	98.27	100	97.31	91.22	39.27	33.58	24.3	12.13	-28.11	-30.26	-29.33	-25.65	-19.85	-13.02	-8.078	-2.738	1.947	3.033	-32.04	-31.77	-30.64	-30.64	30
22	-2.337	3.688	5.206	4.413	2.984	1.421	0.7606	0.6167	1.414	2.225	2.73	2.935	2.125	0.7784	-0.8694	-2.942	-4.726	-6.544	-8.016	-9.798	-10.32	-7.981	-2.672	5.321	15.51	27.19	39.26	86.48	91.55	97.31	100	98.05	51.06	45.72	34.48	17.83	-24.78	-30.07	-31.31	-28.46	-22.17	-13.86	-6.799	0.4406	7.329	9.859	-28.54	-28.3	-27.29	-27.29	31
23	-6.921	5.034	10.36	9.775	7.123	3.293	0.2539	-1.532	-1.069	0.1753	1.588	3.058	3.334	2.826	1.615	-0.5787	-2.743	-5.289	-7.642	-11.32	-14.78	-15.23	-12.14	-5.563	4.143	16.31	29.83	76.35	82.73	91.22	98.05	100	58.66	55	44.01	25.55	-19.3	-26.85	-30.15	-28.75	-23.15	-14.78	-6.971	1.099	9.28	13.16	-25.47	-25.25	-24.35	-24.35	32
24	-8.55	5.059	11.96	11.69	8.793	4.211	0.09498	-2.548	-2.504	-1.267	0.4812	2.567	3.641	3.948	3.43	1.751	-0.1001	-2.501	-4.87	-8.943	-13.58	-15.85	-15.01	-10.92	-3.742	6.044	17.6	21.61	28.57	39.27	51.06	58.66	100	98.17	90.13	72.43	55.68	43.35	33.92	28.75	27.55	29.16	31.67	35.02	39.49	43.22	55.85	55.88	55.85	55.85	33
25	-8.989	4.875	12.37	12.34	9.497	4.732	0.1562	-2.915	-3.182	-2.046	-0.1908	2.18	3.739	4.599	4.606	3.411	1.918	-0.2006	-2.399	-6.42	-11.47	-14.7	-15.31	-12.97	-7.713	0.1591	10.03	17.26	23.48	33.58	45.72	55	98.17	100	96.48	82.93	62.9	51.2	41.14	34.31	30.8	29.92	30.27	32.04	35.36	39.37	54.45	54.49	54.45	54.45	34
26	-6.381	3.304	8.846	8.994	7.108	3.741	0.2909	-2.121	-2.533	-1.831	-0.4831	1.347	2.76	3.739	4.111	3.626	2.847	1.585	0.1899	-2.541	-6.285	-9.131	-10.42	-9.809	-7.18	-2.588	3.686	12.51	16.78	24.3	34.48	44.01	90.13	96.48	100	94.5	73.46	64.51	55.09	46.84	40.29	35.47	31.86	30.36	30.65	33.72	53.57	53.6	53.57	53.57	35
27	-0.7535	0.372	1.311	1.516	1.426	1.026	0.379	-0.1745	-0.4567	-0.4661	-0.247	0.1533	0.6538	1.148	1.547	1.821	1.967	2.003	1.945	1.638	0.9115	-0.0118	-0.9069	-1.547	-1.727	-1.265	-0.02735	7.785	9.084	12.13	17.83	25.55	72.43	82.93	94.5	100	81.67	77.94	71.26	63.04	54.06	45.11	36.77	31	26.76	27.29	50.31	50.34	50.31	50.31	36
28	3.508	-1.733	-4.521	-4.452	-3.315	-1.476	0.2164	1.318	1.365	0.9226	0.2497	-0.5903	-1.099	-1.351	-1.301	-0.8178	-0.2499	0.5352	1.331	2.75	4.485	5.57	5.807	5.196	3.861	2.004	-0.09457	-29.02	-29.04	-28.11	-24.78	-19.3	55.68	62.9	73.46	81.67	100	97.97	92.8	85.46	76.34	66.08	56.86	48.58	41.12	38.87	85.11	84.76	83.96	83.96	37
29	6.963	-3.354	-9.147	-9.196	-7.071	-3.426	0.159	2.602	2.927	2.148	0.767	-1.068	-2.401	-3.277	-3.543	-2.931	-2.064	-0.7188	0.7249	3.475	7.145	9.87	11.14	10.8	8.917	5.737	1.648	-27.27	-28.72	-30.26	-30.07	-26.85	43.35	51.2	64.51	77.94	97.97	100	98.22	93.2	85.11	74.64	64.15	54.35	44.58	39.81	78.82	78.5	77.76	77.76	38
30	8.884	-4.147	-11.7	-11.89	-9.275	-4.636	0.08169	3.365	3.938	3.02	1.236	-1.21	-3.128	-4.506	-5.104	-4.578	-3.666	-2.113	-0.3812	3.056	7.875	11.76	14	14.29	12.65	9.247	4.479	-24.26	-26.38	-29.33	-31.31	-30.15	33.92	41.14	55.09	71.26	92.8	98.22	100	98.17	92.56	83.56	73.36	63.26	52.23	45.1	72.19	71.9	71.22	71.22	39
