#ZVView-data-copy: 18-Nov-2018 22:41:39																																																																																							
																																																																																							
#																																															
#IRDFF-1.05: IN-115(N,INL)In-115M																																															
Z(46x46): Zi,j = Cor(σXi,σYj)*100																																															
	X (MeV)																																														
Y(MeV)	0.339199	0.6	0.8	1	1.2	1.4	1.6	1.8	2	2.2	2.4	2.6	2.8	3	3.5	4	4.5	5	5.5	6	6.5	7	7.5	8	8.5	9	9.5	10	10.5	11	11.5	12	13	14	15	16	17	18	19	20	24	28	34	42	50	60	j
4.5	17.19	24.57	25.86	18.39	19.78	27.98	30.68	27.84	24.17	25.11	30.55	32.94	30.38	30.52	53.7	86.41	100	85.71	55.76	30.79	15.1	6.863	4.363	5.762	9.045	12.44	14.19	12.91	9.037	4.491	1.064	-0.3001	1.253	0.003177	2.264	3.824	3.753	1.647	-1.257	0	0	0	0	0	0	0	17
5	13.64	18.16	21.2	14.22	12.31	18.87	24.43	24.35	18.77	14.66	18.09	24.96	28.97	27.4	29.14	54.39	85.71	100	89.16	69.68	50.94	34.28	20.74	12.06	8.918	10.72	15.8	20.93	22.68	19.74	13.06	3.115	-1.603	0.9934	-8.614	-9.31	-5.946	0.2618	5.837	0	0	0	0	0	0	0	18
5.5	10.85	10.42	12.89	12.73	8.443	7.911	12.17	16.99	15.99	9.65	6.728	11.14	19.07	24.46	15.18	23.4	55.76	89.16	100	93.85	80.47	62.68	43.02	26.03	15.31	12.14	15.95	23.55	29.57	29.91	23.61	9.787	-1.695	1.611	-13.4	-16.53	-12.32	-1.784	9.027	0	0	0	0	0	0	0	19
6	8.824	5.17	6	11.84	7.305	1.101	2.456	9.947	13.92	8.416	1.098	1.157	9.073	20.33	10.08	5.75	30.79	69.68	93.85	100	95.42	82.6	63.72	43.97	28.5	19.89	18.75	23.34	29.19	31.59	27.99	16.15	1.149	1.589	-9.841	-14.01	-11.66	-2.93	7.009	0	0	0	0	0	0	0	20
6.5	7.04	2.525	1.85	10.34	6.922	-1.488	-2.597	4.882	11.52	8.17	-0.2951	-3.447	2.349	15.58	8.909	-1.096	15.1	50.94	80.47	95.42	100	95.27	81.86	63.94	46.85	33.77	26.04	23.85	25.55	27.75	27.12	20.53	5.459	1.154	-1.449	-5.213	-5.971	-2.824	2.118	0	0	0	0	0	0	0	21
7	5.04	1.647	0.1472	7.691	6.072	-1.106	-3.478	1.822	8.309	7.344	0.6239	-3.697	-0.8718	10.39	8.63	-1.252	6.863	34.28	62.68	82.6	95.27	100	95.17	82.84	67.43	51.92	37.74	26.88	21.4	20.75	21.9	21.5	9.688	0.5324	8.268	6.122	2.294	-1.491	-3.451	0	0	0	0	0	0	0	22
7.5	2.875	1.846	0.3969	4.222	4.409	0.9746	-1.244	0.6705	4.615	5.498	2.412	-1.011	-0.9844	5.455	7.896	2.219	4.363	20.74	43.02	63.72	81.86	95.17	100	95.77	85.22	70.42	52.18	33.34	19.45	13.52	13.97	18.1	12.08	-0.003502	15.36	15.53	9.99	0.6768	-7.414	0	0	0	0	0	0	0	23
8	1.039	2.503	1.794	0.9753	2.365	3.37	2.357	1.062	1.436	3.138	3.941	2.705	0.9615	1.887	6.525	6.563	5.762	12.06	26.03	43.97	63.94	82.84	95.77	100	96.31	85.54	67.22	43.71	22.54	9.924	6.648	11.28	11.52	-0.1814	16.76	19.09	13.99	2.852	-8.12	0	0	0	0	0	0	0	24
8.5	0.004114	3.13	3.428	-1.056	0.6449	5.013	5.57	2.337	-0.3648	1.1	4.607	5.742	3.597	0.3721	4.956	9.808	9.045	8.918	15.31	28.5	46.85	67.43	85.22	96.31	100	95.84	81.78	58.25	32.66	13.29	3.58	3.64	8.088	0.1323	11.77	15.36	12.74	4.178	-5.375	0	0	0	0	0	0	0	25
9	0.01542	3.402	4.541	-1.302	-0.1904	5.286	7.118	3.797	-0.3714	0.04193	4.211	6.973	5.728	1.009	3.659	10.84	12.44	10.72	12.14	19.89	33.77	51.92	70.42	85.54	95.84	100	94.28	76.12	50.44	25.81	8.047	-1.425	2.696	0.9015	1.619	4.963	6.129	3.948	-0.07112	0	0	0	0	0	0	0	26
