#ZVView-data-copy: 18-Nov-2018 22:47:13																																																			
																																																																																																				
#																																																			
#MT16:LB5:Symmetric Matrix																																																			
Z(50x50): Zi,j = Cor(σXi,σYj)*100																																																			
	X (MeV)																																																		
Y(MeV)	8.11229	8.5	9	9.5	10	10.5	11	11.5	12	12.5	13	13.5	14	14.2	14.4	14.6	14.8	15	15.5	16	16.5	17	17.5	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	40.0001	42	50	60	j
14.4	-4.628	5.261	3.998	2.77	7.223	12.8	14.48	11.23	5.203	1.888	11.46	53.01	87.64	96.42	100	93.71	71.92	26.78	0.8023	-0.3931	5.917	11.4	12.87	9.035	3.885	3.606	5.033	6.195	6.368	5.514	4.165	2.878	1.922	1.358	1.163	1.273	1.603	2.058	2.562	3.06	3.525	3.945	4.319	4.65	4.943	0	0	0	0	0	15
14.6	1.071	4.662	5.282	6.53	7.57	9.423	10.95	11.9	12.47	13.73	21.23	49.37	73.87	83.94	93.71	100	90.31	52.31	18.36	4.434	1.391	4.015	8.22	11.05	7.571	3.341	1.485	1.356	2.209	3.393	4.432	5.164	5.604	5.788	5.737	5.47	5.032	4.487	3.906	3.339	2.819	2.358	1.956	1.609	1.312	0	0	0	0	0	16
14.8	10.39	2.74	5.762	12.48	9.229	4.458	3.443	8.449	18.13	28.11	36.41	46.91	51.44	58.08	71.92	90.31	100	81.41	47.08	19.59	2.273	-3.06	0.9773	11.44	13.62	6.675	0.8017	-1.983	-1.826	0.4153	3.41	6.174	8.3	9.671	10.26	10.11	9.331	8.13	6.711	5.243	3.834	2.538	1.373	0.3383	-0.5759	0	0	0	0	0	17
15	17.89	-0.5131	3.53	16.41	11.17	0.1322	-5.886	-0.9404	14.33	32.69	44.61	38.87	18.51	15.8	26.78	52.31	81.41	100	85.2	54.07	21.99	1.376	-4.007	7.391	19.84	16.81	9.517	3.378	-0.1424	-0.7742	0.7042	3.153	5.772	8.113	9.915	11.03	11.42	11.19	10.52	9.579	8.522	7.441	6.394	5.408	4.494	0	0	0	0	0	18
15.5	10.15	-0.8813	0.3199	10.29	9.688	2.808	-4.028	-5.059	2.171	15.56	28.25	26.52	5.907	-1.994	0.8023	18.36	47.08	85.2	100	87.31	58.67	29.07	8.564	4.29	18.25	25.13	23.5	18.07	11.23	5.011	0.9211	-0.8328	-0.7626	0.5497	2.614	5.002	7.355	9.418	11.08	12.32	13.22	13.83	14.24	14.49	14.64	0	0	0	0	0	19
16	-4.467	1.467	-0.7591	-0.09054	4.756	7.348	4.868	-0.7424	-5.225	-4.013	4.034	13.4	8.739	2.615	-0.3931	4.434	19.59	54.07	87.31	100	89.21	64.29	35.64	10.64	11.52	22.81	28.09	27.2	21.47	13.3	5.699	0.3409	-2.564	-3.362	-2.499	-0.4551	2.272	5.222	8.059	10.6	12.78	14.61	16.13	17.4	18.45	0	0	0	0	0	20
16.5	-13.85	3.658	0.0824	-7.056	-0.4189	8.642	11.33	5.561	-5.094	-13.21	-11.71	2.999	12.56	10.77	5.917	1.391	2.273	21.99	58.67	89.21	100	90.39	66	28.34	7.776	12.71	20.14	23.88	22.81	17.89	11.65	6.169	2.24	-0.0601	-0.8988	-0.5436	0.6698	2.384	4.291	6.181	7.938	9.517	10.91	12.13	13.2	0	0	0	0	0	21
17	-12.95	4.045	1.572	-7.086	-2.613	6.384	11.42	8.744	-0.3299	-10.16	-12.94	-0.6004	13.4	14.94	11.4	4.015	-3.06	1.376	29.07	64.29	90.39	100	90.25	54.76	14.94	4.918	7.414	12.21	15.62	16.35	14.88	12.47	9.983	7.784	6.001	4.665	3.758	3.225	2.989	2.967	3.087	3.295	3.551	3.832	4.121	0	0	0	0	0	22
17.5	-4.046	2.576	2.463	-1.466	-0.9172	2.748	6.291	7.204	4.643	-0.1403	-3.069	2.507	11.42	13.75	12.87	8.22	0.9773	-4.007	8.564	35.64	66	90.25	100	81.76	35.57	9.322	1.447	1.921	5.757	9.995	13	14.5	14.82	14.26	13.04	11.33	9.346	7.306	5.383	3.678	2.224	1.014	0.01798	-0.7989	-1.469	0	0	0	0	0	23
18	7.433	0.03395	1.774	6.66	4.598	0.8567	-0.7773	1.152	5.619	9.868	11.78	10.82	7.868	7.663	9.035	11.05	11.44	7.391	4.29	10.64	28.34	54.76	81.76	100	76.33	42.91	21.63	9.972	4.586	3.464	4.777	7.027	9.353	11.33	12.73	13.44	13.46	12.92	11.99	10.87	9.696	8.545	7.466	6.476	5.579	0	0	0	0	0	24
