#          MeV            %
         7.496           50
             9      7.40977
            10      7.07537
            11      6.95749
            12      6.85366
            13      6.70134
            14      6.55381
            15      6.43323
            16      6.23639
            17      6.05443
            18      5.86365
            19       5.6889
            20       5.6889
