#ZVView-data-copy:   8-Jul-2018 21:35:22
#=======================================
#
#name:   FPYC,U-235,ENDF/B-VII.1,Ei=0.0253eV
#X.axis: A
#Y.axis: Fission Product Yield
#wdata:  3
#ldata:  107
#data...
#            X            Y         +-dY
#       NO-DIM       PC/FIS       PC/FIS
           148    0.0549302    0.0153543
           149    0.0516043   0.00400253
           150    0.0184652   0.00269819
           151    0.0214723   0.00185661
           152    0.0100232   0.00150707
           153   0.00724282  0.000904959
           154   0.00217602   0.00028822
           155   0.00185452  0.000482902
           156  0.000880895  0.000115066
           157  0.000406967  0.000163188
           158  0.000218872   7.60523e-5
           159  0.000122976   3.87247e-5
           160    3.1936e-5   1.14311e-5
           161   1.47255e-5   2.73488e-6
           162   2.28714e-6   9.34648e-7
           163   3.40154e-7   1.29499e-7
           164    1.8172e-7    8.1681e-8
           165   1.00706e-7   4.54999e-8
           166   4.41362e-8   1.93968e-8
           167   1.61787e-8   6.74114e-9
           168   3.46205e-9   1.33239e-9
           169   2.46147e-9   1.04451e-9
           170  5.70031e-10  2.51901e-10
           171    3.119e-10    1.377e-10
           172  8.20342e-11  3.48381e-11
//
#-------------------------------------------------------------------------------
#
#name:   FPYC,U-235,ENDF/B-VII.1,Ei=14MeV
#X.axis: A
#Y.axis: Fission Product Yield
#wdata:  3
#ldata:  107
#data...
#            X            Y         +-dY
#       NO-DIM       PC/FIS       PC/FIS
            66   1.24165e-5   2.45277e-6
            67   2.37175e-5   6.15299e-6
            68   3.16607e-5   1.03964e-5
            69   5.50917e-5   2.60292e-5
            70   6.58722e-5   2.96463e-5
            71  0.000134544     4.318e-5
            72  0.000242543   7.90265e-5
            73   0.00052747  0.000173864
            74  0.000648074   0.00029593
            75   0.00106373   0.00037393
            76   0.00100096  0.000274041
            77   0.00284249   0.00109435
            78   0.00370004   0.00124638
            79   0.00893072   0.00328238
            80   0.00737475   0.00235159
            81    0.0119653    0.0031755
            82    0.0124666   0.00479901
            83    0.0513955   0.00962357
            84    0.0489049    0.0133321
            85    0.0670245    0.0116538
            86       0.0437    0.0166075
            87     0.094515   0.00752836
            88     0.122849   0.00974034
            89     0.172092    0.0112161
            90     0.218578    0.0785591
            91     0.234966    0.0615415
            92     0.199203    0.0220115
            93     0.298605    0.0652787
            94     0.158611    0.0271208
            95     0.243668    0.0182806
            96     0.145435    0.0229938
            97     0.258077    0.0235442
            98     0.190665    0.0314756
            99     0.308147    0.0306229
           100     0.107838    0.0219312
           101     0.150165    0.0262768
           102      0.13078     0.035737
           103     0.179142    0.0137537
           104    0.0822668    0.0214375
           105    0.0991491    0.0180131
           106    0.0766327     0.010371
           107    0.0693917     0.016549
           108    0.0475808    0.0138603
           109    0.0712969    0.0442824
           110    0.0358711   0.00988336
           111     0.064092    0.0151358
           112    0.0487335   0.00655412
           113    0.0566062    0.0109955
           114    0.0403765    0.0111944
           115    0.0558332    0.0120357
           116    0.0326345   0.00914404
           117    0.0537994    0.0230134
           118    0.0494363    0.0166459
           119    0.0438059    0.0149967
           120    0.0405784    0.0161264
           121    0.0453866    0.0227233
           122    0.0330056   0.00837087
           123    0.0417363    0.0124634
           124    0.0275157    0.0108091
           125    0.0568646    0.0133223
           126     0.076889    0.0163312
           127    0.0909076    0.0108567
           128    0.0762355      0.03504
           129     0.154636    0.0373114
           130    0.0743363    0.0275647
           131     0.153935    0.0242633
           132     0.158299    0.0439387
           133     0.223319    0.0940381
           134     0.156983    0.0195147
           135     0.241128    0.0856383
           136     0.088397    0.0146255
           137     0.199802    0.0114639
           138     0.132925    0.0183033
           139     0.162923    0.0148085
           140     0.180481    0.0123824
           141      0.20476    0.0221665
           142     0.135965    0.0168879
           143     0.185021    0.0144115
           144     0.141015    0.0102963
           145     0.109401    0.0142323
           146    0.0795853    0.0235062
           147    0.0843953   0.00907382
           148    0.0333052    0.0134403
           149    0.0354384    0.0114349
           150    0.0100448   0.00297818
           151    0.0161688   0.00354242
           152   0.00801216   0.00241891
           153   0.00753262    0.0021324
           154   0.00291454     0.001346
           155   0.00306998  0.000812023
           156   0.00202614  0.000326461
           157   0.00117247  0.000337229
           158  0.000640754  0.000192007
           159  0.000404934   9.19073e-5
           160   0.00014278   5.32925e-5
           161  0.000188333   3.74914e-5
           162   8.90443e-5   2.72445e-5
           163   4.48336e-5   1.39205e-5
           164   2.39432e-5   6.41679e-6
           165    1.8723e-5   6.96302e-6
           166   1.03124e-5   1.99168e-6
           167    6.3188e-6   1.95282e-6
           168   3.12279e-6    1.0011e-6
           169    2.7697e-6   5.94924e-7
           170   7.08528e-7   2.81757e-7
           171   6.69269e-7   2.30045e-7
           172   5.68391e-7   1.17239e-7
//
#-------------------------------------------------------------------------------
