A, Mass Sum Yield, Uncert Total
  2.07e-007 MeV.

  72, 2.0000e-04, 2.0000e-04
  73, 0.0000e+00, 0.0000e+00
  74, 4.0000e-04, 4.0000e-04
  75, 1.6000e-03, 1.6000e-03
  76, 4.4000e-03, 3.2800e-03
  77, 1.1200e-02, 8.4100e-03
  78, 2.4800e-02, 1.7060e-02
  79, 5.7100e-02, 3.6090e-02
  80, 1.3420e-01, 8.0550e-02
  81, 1.8570e-01, 1.0640e-01
  82, 3.2270e-01, 1.8022e-01
  83, 4.9950e-01, 2.6727e-01
  84, 9.1350e-01, 3.6355e-01
  85, 1.3329e+00, 3.7901e-01
  86, 1.8963e+00, 3.7576e-01
  87, 2.4988e+00, 3.4018e-01
  88, 3.7430e+00, 3.7265e-01
  89, 4.7113e+00, 3.6011e-01
  90, 5.6354e+00, 3.2604e-01
  91, 5.8009e+00, 3.8447e-01
  92, 6.1830e+00, 3.7829e-01
  93, 6.1264e+00, 4.0865e-01
  94, 6.9321e+00, 5.3593e-01
  95, 6.6115e+00, 4.6314e-01
  96, 6.3123e+00, 3.9288e-01
  97, 6.0399e+00, 3.4011e-01
  98, 6.4353e+00, 3.4597e-01
  99, 6.2363e+00, 3.8700e-01
 100, 6.4144e+00, 5.8857e-01
 101, 5.2489e+00, 6.5655e-01
 102, 3.9467e+00, 6.1074e-01
 103, 2.6615e+00, 5.0959e-01
 104, 1.6803e+00, 3.7360e-01
 105, 7.9150e-01, 2.2255e-01
 106, 3.3780e-01, 1.2461e-01
 107, 1.1760e-01, 4.8010e-02
 108, 4.2500e-02, 1.7760e-02
 109, 1.7000e-02, 1.0150e-02
 110, 1.3800e-02, 7.8200e-03
 111, 1.1600e-02, 8.7900e-03
 112, 1.3800e-02, 8.9700e-03
 113, 1.6500e-02, 1.0280e-02
 114, 1.6500e-02, 9.0900e-03
 115, 1.6200e-02, 9.3200e-03
 116, 1.8600e-02, 1.0310e-02
 117, 1.3300e-02, 1.0300e-02
 118, 1.6000e-02, 9.3000e-03
 119, 1.3000e-02, 9.0700e-03
 120, 1.5800e-02, 8.9700e-03
 121, 1.1200e-02, 6.0000e-03
 122, 1.1900e-02, 7.7900e-03
 123, 8.4000e-03, 5.7700e-03
 124, 8.7000e-03, 5.4800e-03
 125, 1.6700e-02, 1.0920e-02
 126, 4.4900e-02, 1.8680e-02
 127, 1.3550e-01, 5.4030e-02
 128, 3.9680e-01, 1.4478e-01
 129, 8.9750e-01, 2.4743e-01
 130, 1.7767e+00, 3.9229e-01
 131, 2.7990e+00, 5.1883e-01
 132, 4.1226e+00, 6.4363e-01
 133, 6.1503e+00, 6.5459e-01
 134, 7.8152e+00, 6.1683e-01
 135, 6.7940e+00, 3.9855e-01
 136, 6.6137e+00, 3.5518e-01
 137, 6.3138e+00, 3.5619e-01
 138, 6.6971e+00, 4.4188e-01
 139, 6.4038e+00, 4.4674e-01
 140, 6.0366e+00, 4.6841e-01
 141, 5.5845e+00, 3.8821e-01
 142, 6.0736e+00, 3.6722e-01
 143, 5.6519e+00, 3.6083e-01
 144, 5.3057e+00, 3.4607e-01
 145, 4.1273e+00, 3.5176e-01
 146, 3.1249e+00, 3.2911e-01
 147, 2.3216e+00, 3.8191e-01
 148, 1.7997e+00, 3.7645e-01
 149, 1.1566e+00, 3.1894e-01
 150, 7.3510e-01, 2.6229e-01
 151, 4.1780e-01, 1.9349e-01
 152, 2.7220e-01, 1.3182e-01
 153, 1.4840e-01, 8.3400e-02
 154, 8.3500e-02, 4.7620e-02
 155, 3.7900e-02, 2.4520e-02
 156, 1.8000e-02, 1.0960e-02
 157, 8.7000e-03, 6.3000e-03
 158, 2.7000e-03, 2.7000e-03
 159, 1.1000e-03, 1.1000e-03
 160, 1.0000e-04, 1.0000e-04
 161, 3.0000e-04, 3.0000e-04
 162, 0.0000e+00, 0.0000e+00
 163, 0.0000e+00, 0.0000e+00
 164, 0.0000e+00, 0.0000e+00
  7.696e-007 MeV.
  74, 6.0000e-04, 6.0000e-04
  75, 1.8000e-03, 1.8000e-03
  76, 3.3000e-03, 3.3000e-03
  77, 9.6000e-03, 9.3300e-03
  78, 2.5500e-02, 1.7570e-02
  79, 5.6900e-02, 4.3120e-02
  80, 1.3330e-01, 8.2810e-02
  81, 1.9350e-01, 1.1824e-01
  82, 3.2830e-01, 1.5874e-01
  83, 4.9540e-01, 2.1635e-01
  84, 9.0760e-01, 3.0659e-01
  85, 1.3388e+00, 3.1877e-01
  86, 1.9415e+00, 3.2685e-01
  87, 2.4820e+00, 3.7213e-01
