A, Mass Sum Yield, Uncert Total

  2.07e-007 MeV.
 141, 5.7272e+00, 1.1090e+00
 142, 5.8708e+00, 1.1665e+00
 143, 5.4679e+00, 1.0737e+00
 144, 5.8169e+00, 1.1061e+00
 145, 5.4581e+00, 9.9890e-01
 146, 5.4144e+00, 9.9653e-01
 147, 3.9841e+00, 7.0929e-01
 148, 3.1287e+00, 5.8666e-01
 149, 2.2631e+00, 4.3347e-01
 150, 1.6028e+00, 4.1188e-01
 151, 8.4510e-01, 2.5835e-01
 152, 4.5460e-01, 2.1426e-01
 153, 2.0200e-01, 1.2812e-01
 154, 1.0620e-01, 8.4580e-02
 155, 5.1800e-02, 4.5610e-02
 156, 2.4100e-02, 2.4100e-02
 157, 8.5000e-03, 8.5000e-03
 158, 3.7000e-03, 3.7000e-03
 159, 6.0000e-04, 6.0000e-04
 160, 4.0000e-04, 4.0000e-04
 161, 2.0000e-04, 2.0000e-04
 162, 0.0000e+00, 0.0000e+00
  2.092e-006 MeV.
  77, 2.0000e-04, 2.0000e-04
  78, 1.2000e-03, 1.2000e-03
  79, 3.4000e-03, 3.4000e-03
  80, 1.4600e-02, 1.4600e-02
  81, 3.4000e-02, 3.4000e-02
  82, 8.3200e-02, 7.4590e-02
  83, 1.2970e-01, 1.1631e-01
  84, 2.7100e-01, 1.7899e-01
  85, 5.0150e-01, 2.4570e-01
  86, 1.0176e+00, 3.1363e-01
  87, 1.5681e+00, 3.4350e-01
  88, 2.4973e+00, 4.9462e-01
  89, 3.3971e+00, 5.5887e-01
  90, 4.8880e+00, 7.6225e-01
  91, 5.4271e+00, 8.1137e-01
  92, 6.0293e+00, 9.4455e-01
  93, 5.5476e+00, 8.8342e-01
  94, 6.0155e+00, 9.7580e-01
  95, 6.1097e+00, 9.5367e-01
  96, 6.4830e+00, 1.0065e+00
  97, 5.7169e+00, 7.7685e-01
  98, 5.8012e+00, 6.1612e-01
  99, 5.8664e+00, 3.8887e-01
 100, 6.5677e+00, 6.2369e-01
 101, 6.4131e+00, 1.2172e+00
 102, 6.2892e+00, 1.7028e+00
 103, 4.8801e+00, 1.6731e+00
 104, 3.7435e+00, 1.5199e+00
 105, 2.4040e+00, 1.1195e+00
 106, 1.3839e+00, 7.0661e-01
 107, 5.7240e-01, 3.2616e-01
 108, 2.2670e-01, 1.6198e-01
 109, 6.5900e-02, 4.7180e-02
 110, 1.9700e-02, 1.5320e-02
 111, 5.6000e-03, 5.0600e-03
 112, 4.0000e-03, 3.8800e-03
 113, 3.5000e-03, 3.4400e-03
 114, 4.5000e-03, 4.5000e-03
 115, 5.1000e-03, 4.5000e-03
 116, 5.1000e-03, 4.0800e-03
 117, 4.4000e-03, 4.4000e-03
 118, 5.1000e-03, 3.3800e-03
 119, 3.9000e-03, 3.9000e-03
 120, 4.3000e-03, 3.1900e-03
 121, 3.7000e-03, 3.3100e-03
 122, 4.4000e-03, 3.4700e-03
 123, 2.6000e-03, 2.6000e-03
 124, 2.3000e-03, 2.3000e-03
 125, 2.6000e-03, 2.6000e-03
 126, 5.0000e-03, 5.0000e-03
 127, 1.7900e-02, 1.7870e-02
 128, 7.0800e-02, 5.6830e-02
 129, 2.3080e-01, 1.7321e-01
 130, 6.8230e-01, 4.1089e-01
 131, 1.4839e+00, 7.7157e-01
 132, 2.9396e+00, 1.2968e+00
 133, 4.1442e+00, 1.6000e+00
 134, 6.1638e+00, 1.9477e+00
 135, 6.6632e+00, 1.5540e+00
 136, 7.0699e+00, 9.5243e-01
 137, 6.1628e+00, 4.2611e-01
 138, 5.7491e+00, 4.7347e-01
 139, 5.7249e+00, 6.5729e-01
 140, 6.4972e+00, 9.7278e-01
 141, 5.7602e+00, 8.8450e-01
 142, 5.8976e+00, 9.4708e-01
 143, 5.4466e+00, 8.6367e-01
 144, 5.7970e+00, 9.1162e-01
 145, 5.4672e+00, 8.5607e-01
 146, 5.3578e+00, 8.2130e-01
 147, 3.9764e+00, 6.3420e-01
 148, 3.1493e+00, 5.3384e-01
 149, 2.2296e+00, 4.4908e-01
 150, 1.5989e+00, 3.6706e-01
 151, 8.4830e-01, 2.8356e-01
 152, 4.4560e-01, 2.0041e-01
 153, 2.0590e-01, 1.2648e-01
 154, 1.0000e-01, 7.8660e-02
 155, 4.8000e-02, 4.6220e-02
 156, 2.2900e-02, 2.2900e-02
 157, 9.2000e-03, 9.2000e-03
 158, 2.1000e-03, 2.1000e-03
 159, 9.0000e-04, 9.0000e-04
 160, 2.0000e-04, 2.0000e-04
 161, 0.0000e+00, 0.0000e+00
  6.868e-006 MeV.
  76, 1.0000e-04, 1.0000e-04
  77, 4.0000e-04, 4.0000e-04
  78, 1.1000e-03, 1.1000e-03
  79, 3.3000e-03, 3.3000e-03
  80, 1.4100e-02, 1.1820e-02
  81, 3.4700e-02, 2.4170e-02
  82, 8.5400e-02, 5.9920e-02
  83, 1.3500e-01, 8.9250e-02
  84, 2.6250e-01, 1.4205e-01
  85, 4.7130e-01, 2.0607e-01
  86, 1.0341e+00, 2.7847e-01
  87, 1.5597e+00, 2.9870e-01
  88, 2.4880e+00, 3.9870e-01
  89, 3.4103e+00, 5.0865e-01
  90, 4.9022e+00, 5.6611e-01
  91, 5.4258e+00, 6.0561e-01
  92, 6.0645e+00, 7.0591e-01
  93, 5.5859e+00, 6.5286e-01
  94, 5.9957e+00, 7.5009e-01
  95, 6.0943e+00, 7.4735e-01
  96, 6.5435e+00, 7.2695e-01
  97, 5.7465e+00, 5.4973e-01
  98, 5.7715e+00, 4.2779e-01
  99, 5.8320e+00, 3.7579e-01
 100, 6.5377e+00, 5.5751e-01
 101, 6.4436e+00, 8.8921e-01
 102, 6.3098e+00, 1.1571e+00
 103, 4.9035e+00, 1.1049e+00
 104, 3.7018e+00, 9.8400e-01
 105, 2.3794e+00, 7.4551e-01
 106, 1.3864e+00, 5.0328e-01
 107, 5.5230e-01, 2.2813e-01
 108, 2.1490e-01, 1.1099e-01
 109, 5.9500e-02, 3.4850e-02
 110, 1.8700e-02, 1.3260e-02
 111, 5.2000e-03, 5.2000e-03
 112, 4.1000e-03, 4.1000e-03
 113, 4.4000e-03, 4.0000e-03
 114, 4.6000e-03, 4.6000e-03
 115, 4.2000e-03, 4.2000e-03
 116, 4.9000e-03, 4.9000e-03
 117, 5.3000e-03, 5.3000e-03
 118, 4.6000e-03, 4.6000e-03
 119, 4.6000e-03, 4.6000e-03
 120, 4.6000e-03, 4.6000e-03
 121, 3.2000e-03, 3.2000e-03
 122, 4.0000e-03, 4.0000e-03
 123, 3.2000e-03, 3.2000e-03
 124, 2.1000e-03, 2.1000e-03
 125, 2.3000e-03, 2.3000e-03
 126, 5.2000e-03, 4.8600e-03
 127, 1.6800e-02, 1.2470e-02
 128, 7.4600e-02, 4.6200e-02
 129, 2.1090e-01, 1.0646e-01
 130, 6.7380e-01, 2.8205e-01
 131, 1.4614e+00, 5.3468e-01
 132, 2.9207e+00, 8.5343e-01
 133, 4.1574e+00, 1.0378e+00
 134, 6.1884e+00, 1.3317e+00
 135, 6.6511e+00, 1.1023e+00
 136, 7.0705e+00, 7.6643e-01
 137, 6.1432e+00, 4.5040e-01
 138, 5.7060e+00, 3.7163e-01
 139, 5.7365e+00, 5.2298e-01
 140, 6.5337e+00, 6.3185e-01
 141, 5.7580e+00, 6.9353e-01
 142, 5.8678e+00, 7.5985e-01
 143, 5.4819e+00, 6.6534e-01
 144, 5.8438e+00, 7.0561e-01
 145, 5.4643e+00, 6.2633e-01
 146, 5.4003e+00, 5.6894e-01
 147, 3.9629e+00, 4.8436e-01
 148, 3.1453e+00, 4.2366e-01
 149, 2.2328e+00, 3.6623e-01
 150, 1.5956e+00, 3.2535e-01
 151, 8.3120e-01, 2.4737e-01
 152, 4.4110e-01, 1.7579e-01
 153, 2.0860e-01, 9.3050e-02
 154, 1.0220e-01, 6.5240e-02
 155, 5.0700e-02, 3.6530e-02
 156, 2.2500e-02, 1.7840e-02
 157, 6.9000e-03, 6.9000e-03
 158, 1.6000e-03, 1.6000e-03
 159, 1.2000e-03, 1.2000e-03
 160, 1.0000e-04, 1.0000e-04
 161, 1.0000e-04, 1.0000e-04
 162, 1.0000e-04, 1.0000e-04
 163, 0.0000e+00, 0.0000e+00
  1.985e-005 MeV.
  76, 1.0000e-04, 1.0000e-04
  77, 4.0000e-04, 4.0000e-04
  78, 8.0000e-04, 8.0000e-04
  79, 4.7000e-03, 4.1600e-03
  80, 1.4100e-02, 1.3580e-02
  81, 3.8700e-02, 3.1710e-02
  82, 8.7500e-02, 6.1170e-02
  83, 1.4010e-01, 8.7350e-02
  84, 2.6380e-01, 1.2742e-01
  85, 4.9480e-01, 1.8198e-01
  86, 1.0133e+00, 2.7289e-01
  87, 1.5785e+00, 2.6838e-01
  88, 2.5052e+00, 3.7166e-01
  89, 3.4142e+00, 4.7377e-01
  90, 4.9032e+00, 6.3569e-01
  91, 5.3955e+00, 6.4218e-01
  92, 6.1030e+00, 6.8653e-01
  93, 5.5698e+00, 6.9203e-01
  94, 6.0154e+00, 8.1672e-01
  95, 6.0322e+00, 7.7804e-01
  96, 6.4748e+00, 7.2543e-01
  97, 5.7646e+00, 5.7494e-01
  98, 5.8181e+00, 3.9732e-01
  99, 5.8417e+00, 3.6049e-01
 100, 6.5355e+00, 6.1038e-01
 101, 6.4361e+00, 8.9485e-01
 102, 6.3083e+00, 1.2719e+00
 103, 4.8940e+00, 1.2458e+00
 104, 3.7224e+00, 1.1147e+00
 105, 2.3714e+00, 8.4464e-01
 106, 1.3799e+00, 5.6049e-01
 107, 5.4330e-01, 2.7225e-01
 108, 2.1800e-01, 1.2764e-01
 109, 6.4400e-02, 3.9800e-02
 110, 1.9800e-02, 1.3520e-02
 111, 5.4000e-03, 5.4000e-03
 112, 5.3000e-03, 3.0300e-03
 113, 5.7000e-03, 3.1500e-03
 114, 4.5000e-03, 4.5000e-03
 115, 4.9000e-03, 4.2900e-03
 116, 4.5000e-03, 4.5000e-03
 117, 4.1000e-03, 4.1000e-03
 118, 5.4000e-03, 5.4000e-03
 119, 2.5000e-03, 2.5000e-03
 120, 5.1000e-03, 3.1700e-03
 121, 4.3000e-03, 3.8500e-03
 122, 4.4000e-03, 3.1500e-03
 123, 3.7000e-03, 2.7800e-03
 124, 2.8000e-03, 2.8000e-03
 125, 2.9000e-03, 2.4300e-03
 126, 5.1000e-03, 5.1000e-03
 127, 1.7000e-02, 1.6220e-02
 128, 6.9500e-02, 4.8700e-02
 129, 2.2530e-01, 1.3060e-01
 130, 6.6430e-01, 3.4804e-01
 131, 1.4548e+00, 5.9534e-01
 132, 2.9252e+00, 9.6298e-01
 133, 4.1434e+00, 1.1590e+00
 134, 6.1886e+00, 1.4637e+00
 135, 6.6303e+00, 1.1622e+00
 136, 7.0732e+00, 8.6085e-01
 137, 6.1368e+00, 4.4007e-01
 138, 5.7632e+00, 3.1564e-01
 139, 5.7745e+00, 4.5853e-01
 140, 6.4468e+00, 6.9988e-01
 141, 5.7771e+00, 6.9406e-01
 142, 5.8594e+00, 8.0642e-01
 143, 5.4681e+00, 6.7880e-01
 144, 5.7998e+00, 7.2556e-01
 145, 5.4805e+00, 6.1458e-01
 146, 5.3902e+00, 6.5527e-01
 147, 3.9643e+00, 5.1221e-01
 148, 3.1495e+00, 4.0612e-01
 149, 2.2690e+00, 3.4180e-01
 150, 1.6019e+00, 3.1206e-01
 151, 8.4940e-01, 2.4122e-01
 152, 4.4110e-01, 1.5668e-01
 153, 2.0340e-01, 1.1173e-01
 154, 1.0640e-01, 6.9350e-02
 155, 5.2200e-02, 2.8380e-02
