IN115G  IFX  0.394E+02 100I1NG
 9.1042238E-02 2.6014129E-01 4.5326990E-01 5.4394073E-01 6.0380905E-01 6.4527605E-01
 6.6186289E-01 6.8107263E-01 6.8694342E-01 6.7091977E-01 6.0195877E-01 2.7898546E-01
 2.2147123E-02 6.5657253E-01 3.9172899E-01 9.5059714E-01 2.2792170E-01 5.1918619E-01
 9.9382350E-01 4.9747896E-01 4.6626610E-01 8.6073131E-01 6.7801774E-01 7.8198868E-01
 6.8387142E-01 6.5854726E-01 6.1991651E-01 7.3013245E-01 8.2693066E-01 8.6114339E-01
 9.1033747E-01 9.0885803E-01 9.6533390E-01 9.8204133E-01 9.8358971E-01 9.8492545E-01
 9.8606155E-01 9.8694139E-01 9.8768250E-01 9.8825623E-01 9.8888116E-01 9.8932646E-01
 9.9038552E-01 9.9100802E-01 9.9156528E-01 9.9217722E-01 9.9301870E-01 9.9376540E-01
 9.9445692E-01 9.9513797E-01 9.9573325E-01 9.9618262E-01 9.9655172E-01 9.9679352E-01
 9.9706656E-01 9.9736256E-01 9.9750994E-01 9.9763041E-01 9.9770629E-01 9.9774289E-01
 9.9775712E-01 9.9770862E-01 9.9765217E-01 9.9759773E-01 9.9753934E-01 9.9747539E-01
 9.9740038E-01 9.9730704E-01 9.9726552E-01 9.9724732E-01 9.9726785E-01 9.9739440E-01
 9.9760535E-01 9.9784028E-01 9.9805219E-01 9.9833583E-01 9.9865897E-01 9.9894125E-01
 9.9918492E-01 9.9939332E-01 9.9985947E-01 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
AU197G  IFX  0.100E+02 100A1NG
 3.0843460E-01 5.7907130E-01 7.4922234E-01 8.0762244E-01 8.4341329E-01 8.6817530E-01
 8.7879817E-01 8.9370219E-01 9.0550934E-01 9.1475277E-01 9.2091331E-01 9.2356896E-01
 9.1869237E-01 8.9502648E-01 7.0645225E-01 6.8494861E-02 9.0065562E-01 9.8227660E-01
 9.9473172E-01 9.9771995E-01 9.9809359E-01 3.0982493E-01 6.3256636E-01 7.4255290E-01
