Lower E,Upper E,Mid E
0,5.00E-01,2.50E-01
5.00E-01,1.00E+00,7.50E-01
1.00E+00,1.50E+00,1.25E+00
1.50E+00,2.00E+00,1.75E+00
2.00E+00,3.00E+00,2.50E+00
3.00E+00,4.00E+00,3.50E+00
4.00E+00,6.00E+00,5.00E+00
6.00E+00,9.00E+00,7.50E+00
9.00E+00,1.20E+01,1.05E+01
1.20E+01,1.30E+01,1.25E+01
1.30E+01,1.40E+01,1.35E+01
1.40E+01,1.50E+01,1.45E+01
1.50E+01,16,1.55E+01
