Lower E,Upper E,Mid E
0,1.00E+00,5.00E-01
1.00E+00,3.00E+00,2.00E+00
3.00E+00,5.00E+00,4.00E+00
5.00E+00,7.00E+00,6.00E+00
7.00E+00,9.00E+00,8.00E+00
9.00E+00,1.10E+01,1.00E+01
1.10E+01,1.30E+01,1.20E+01
1.30E+01,1.50E+01,1.40E+01
