IN115G  INNG  IFX   39.37  3.834E+22  ATN = (7.31 × N_a × 1      ) / (114.818)
AU197G  AUNG  IFX   3.937  5.901E+22  ATN = (19.3 × N_a × 1      ) / (196.966569)
W186G   WWNG  IFX   39.37  6.322E+22  ATN = (19.3 × N_a × 1      ) / (183.84)
MN55G   MNNG  IFX   39.37  7.903E+22  ATN = (7.21 × N_a × 1      ) / (54.938044)
